TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות גמל לחודש 03/2007,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox103,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox105,Textbox92,Textbox93,Textbox94,Textbox104,Textbox106,Textbox107,Textbox108,Textbox98,Textbox99
"שיעור דמי ניהול
ממוצע לשנת
2017",78.3%,-72.5,"12,916.7",0.70%,0.61%,1.10,0.17,0.12%,3.36%,0.54%,," *** הראל אג""ח עד 25% מניות ",101,80.3%,25.2,"262,665.7",0.59%,0.45%,,,0.76%,3.24%,0.47%
"שיעור דמי ניהול
ממוצע לשנת
2017",77.7%,-3.7,"1,968.4",- - -,- - -,1.31,1.05,1.08%,3.22%,0.61%,לא פעיל, *** אקסלנס גמל פלטינום,102,80.3%,25.2,"262,665.7",0.59%,0.45%,,,0.76%,3.24%,0.47%
"שיעור דמי ניהול
ממוצע לשנת
2017",81.2%,-39.4,"4,773.2",0.70%,0.61%,1.16,0.19,0.72%,3.23%,0.42%,, *** מיטב דש גמל לבני  50-60,103,80.3%,25.2,"262,665.7",0.59%,0.45%,,,0.76%,3.24%,0.47%
"שיעור דמי ניהול
ממוצע לשנת
2017",78.5%,-20.1,"2,695.2",- - -,- - -,1.10,0.60,0.00%,3.36%,0.56%,לא פעיל,פסגות צור,104,80.3%,25.2,"262,665.7",0.59%,0.45%,,,0.76%,3.24%,0.47%
"שיעור דמי ניהול
ממוצע לשנת
2017",82.9%,-3.1,121.5,- - -,- - -,1.17,1,0.36%,3.39%,0.56%,לא פעיל,ישיר המלאכה,105,80.3%,25.2,"262,665.7",0.59%,0.45%,,,0.76%,3.24%,0.47%
"שיעור דמי ניהול
ממוצע לשנת
2017",81.3%,-152.2,"20,869.3",- - -,- - -,1.16,0.40,0.48%,3.21%,0.38%,לא פעיל, *** פסגות גדיש כללי,106,80.3%,25.2,"262,665.7",0.59%,0.45%,,,0.76%,3.24%,0.47%
"שיעור דמי ניהול
ממוצע לשנת
2017",77.0%,-2.9,496.9,0.58%,0.00%,0.95,-0.67,-0.48%,3.04%,0.68%,," *** הלמן-אלדובי בר-יציב אג""ח עד 25% במניות",107,80.3%,25.2,"262,665.7",0.59%,0.45%,,,0.76%,3.24%,0.47%
"שיעור דמי ניהול
ממוצע לשנת
2017",86.9%,-0.8,37.0,- - -,- - -,1.40,0.83,5.40%,3.59%,1.89%,לא פעיל, *** להיט מניות,109,80.3%,25.2,"262,665.7",0.59%,0.45%,,,0.76%,3.24%,0.47%
"שיעור דמי ניהול
ממוצע לשנת
2017",78.2%,-6.4,"1,090.6",- - -,- - -,1.12,0.85,0.24%,3.61%,0.54%,לא פעיל, *** מיטב מירון,111,80.3%,25.2,"262,665.7",0.59%,0.45%,,,0.76%,3.24%,0.47%
"שיעור דמי ניהול
ממוצע לשנת
2017",77.0%,-1.1,200.2,- - -,- - -,1.15,0.84,0.24%,3.43%,0.49%,לא פעיל,הראל רימון,112,80.3%,25.2,"262,665.7",0.59%,0.45%,,,0.76%,3.24%,0.47%
"שיעור דמי ניהול
ממוצע לשנת
2017",79.9%,-26.7,"3,176.9",- - -,- - -,1.20,0.71,0.72%,3.31%,0.42%,לא פעיל, *** פסגות קרן אור,113,80.3%,25.2,"262,665.7",0.59%,0.45%,,,0.76%,3.24%,0.47%
"שיעור דמי ניהול
ממוצע לשנת
2017",86.1%,0.0,14.1,- - -,- - -,0.93,-0.62,-0.12%,3.20%,0.58%,לא פעיל,אי.בי.אי שחר,114,80.3%,25.2,"262,665.7",0.59%,0.45%,,,0.76%,3.24%,0.47%
"שיעור דמי ניהול
ממוצע לשנת
2017",88.9%,-1.3,812.0,- - -,- - -,1.20,0.18,0.48%,2.81%,0.57%,לא פעיל, *** ** הגומל מסלול כללי,115,80.3%,25.2,"262,665.7",0.59%,0.45%,,,0.76%,3.24%,0.47%
"שיעור דמי ניהול
ממוצע לשנת
2017",84.2%,0.6,22.0,0.58%,0.04%,0.62,-1.21,-0.12%,2.08%,-0.08%,," *** כלל תמר אג""ח ",117,80.3%,25.2,"262,665.7",0.59%,0.45%,,,0.76%,3.24%,0.47%
"שיעור דמי ניהול
ממוצע לשנת
2017",80.2%,18.1,182.7,0.51%,- - -,1.52,1.04,2.40%,3.29%,-0.14%,,אנליסט קופה מרכזית לפיצויים מסלול כללי,118,80.3%,25.2,"262,665.7",0.59%,0.45%,,,0.76%,3.24%,0.47%
"שיעור דמי ניהול
ממוצע לשנת
2017",83.3%,-0.6,754.3,0.73%,0.32%,1.06,-0.70,0.12%,3.00%,0.27%,,מנורה מבטחים יותר מסלול ד,119,80.3%,25.2,"262,665.7",0.59%,0.45%,,,0.76%,3.24%,0.47%
"שיעור דמי ניהול
ממוצע לשנת
2017",96.6%,-0.1,61.3,0.45%,- - -,- - -,- - -,- - -,- - -,- - -,,מיטב דש ביטחון מבטיח תשואה 4.5%,120,80.3%,25.2,"262,665.7",0.59%,0.45%,,,0.76%,3.24%,0.47%
"שיעור דמי ניהול
ממוצע לשנת
2017",83.8%,-0.1,26.0,- - -,- - -,1.04,0.28,0.00%,3.47%,0.62%,לא פעיל,ישיר תוחלת,121,80.3%,25.2,"262,665.7",0.59%,0.45%,,,0.76%,3.24%,0.47%
