TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות גמל לחודש 07/2007,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox103,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox105,Textbox92,Textbox93,Textbox94,Textbox104,Textbox106,Textbox107,Textbox108,Textbox98,Textbox99
"שיעור דמי ניהול
ממוצע לשנת
2017",77.6%,-110.1,"13,125.0",0.70%,0.61%,1.35,0.17,0.48%,8.48%,-0.43%,," *** הראל אג""ח עד 25% מניות ",101,79.9%,285.3,"275,298.8",0.59%,0.45%,,,0.80%,8.27%,-0.40%
"שיעור דמי ניהול
ממוצע לשנת
2017",78.4%,0.5,"2,066.3",- - -,- - -,1.59,1.19,1.08%,9.43%,0.02%,לא פעיל, *** אקסלנס גמל פלטינום,102,79.9%,285.3,"275,298.8",0.59%,0.45%,,,0.80%,8.27%,-0.40%
"שיעור דמי ניהול
ממוצע לשנת
2017",80.8%,-52.6,"4,805.9",0.70%,0.61%,1.31,-0.14,0.48%,7.99%,-0.82%,, *** מיטב דש גמל לבני  50-60,103,79.9%,285.3,"275,298.8",0.59%,0.45%,,,0.80%,8.27%,-0.40%
"שיעור דמי ניהול
ממוצע לשנת
2017",79.4%,-21.7,"2,705.2",- - -,- - -,1.29,-0.31,0.12%,7.36%,-0.77%,לא פעיל,פסגות צור,104,79.9%,285.3,"275,298.8",0.59%,0.45%,,,0.80%,8.27%,-0.40%
"שיעור דמי ניהול
ממוצע לשנת
2017",83.0%,-1.2,123.9,- - -,- - -,1.41,1.10,0.36%,8.78%,-0.27%,לא פעיל,ישיר המלאכה,105,79.9%,285.3,"275,298.8",0.59%,0.45%,,,0.80%,8.27%,-0.40%
"שיעור דמי ניהול
ממוצע לשנת
2017",80.0%,-117.9,"21,294.9",- - -,- - -,1.34,0.15,0.48%,8.11%,-0.70%,לא פעיל, *** פסגות גדיש כללי,106,79.9%,285.3,"275,298.8",0.59%,0.45%,,,0.80%,8.27%,-0.40%
"שיעור דמי ניהול
ממוצע לשנת
2017",78.0%,-3.0,510.3,0.58%,0.00%,1.30,-0.63,-0.36%,7.61%,0.09%,," *** הלמן-אלדובי בר-יציב אג""ח עד 25% במניות",107,79.9%,285.3,"275,298.8",0.59%,0.45%,,,0.80%,8.27%,-0.40%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.8%,-0.7,34.0,- - -,- - -,1.52,0.87,4.20%,10.36%,-1.58%,לא פעיל, *** להיט מניות,109,79.9%,285.3,"275,298.8",0.59%,0.45%,,,0.80%,8.27%,-0.40%
"שיעור דמי ניהול
ממוצע לשנת
2017",78.9%,-6.1,"1,101.3",- - -,- - -,1.28,0.24,0.12%,7.74%,-0.68%,לא פעיל, *** מיטב מירון,111,79.9%,285.3,"275,298.8",0.59%,0.45%,,,0.80%,8.27%,-0.40%
"שיעור דמי ניהול
ממוצע לשנת
2017",77.3%,-1.9,204.6,- - -,- - -,1.40,0.93,0.48%,8.69%,-0.42%,לא פעיל,הראל רימון,112,79.9%,285.3,"275,298.8",0.59%,0.45%,,,0.80%,8.27%,-0.40%
"שיעור דמי ניהול
ממוצע לשנת
2017",79.4%,-31.5,"3,211.7",- - -,- - -,1.37,0.42,0.60%,8.20%,-0.65%,לא פעיל, *** פסגות קרן אור,113,79.9%,285.3,"275,298.8",0.59%,0.45%,,,0.80%,8.27%,-0.40%
"שיעור דמי ניהול
ממוצע לשנת
2017",85.6%,-0.3,14.1,- - -,- - -,1.07,-0.72,-0.12%,7.73%,-0.71%,לא פעיל,אי.בי.אי שחר,114,79.9%,285.3,"275,298.8",0.59%,0.45%,,,0.80%,8.27%,-0.40%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.3%,-3.9,835.2,- - -,- - -,1.40,-0.29,0.48%,7.36%,-0.68%,לא פעיל, *** ** הגומל מסלול כללי,115,79.9%,285.3,"275,298.8",0.59%,0.45%,,,0.80%,8.27%,-0.40%
"שיעור דמי ניהול
ממוצע לשנת
2017",86.0%,3.3,24.7,0.58%,0.04%,0.86,-1.43,-0.12%,4.85%,-0.39%,," *** כלל תמר אג""ח ",117,79.9%,285.3,"275,298.8",0.59%,0.45%,,,0.80%,8.27%,-0.40%
"שיעור דמי ניהול
ממוצע לשנת
2017",78.3%,0.7,198.2,0.51%,- - -,1.63,0.59,2.04%,7.43%,-0.68%,,אנליסט קופה מרכזית לפיצויים מסלול כללי,118,79.9%,285.3,"275,298.8",0.59%,0.45%,,,0.80%,8.27%,-0.40%
"שיעור דמי ניהול
ממוצע לשנת
2017",81.2%,-6.7,763.4,0.73%,0.32%,1.19,-1.20,-0.12%,6.85%,-0.86%,,מנורה מבטחים יותר מסלול ד,119,79.9%,285.3,"275,298.8",0.59%,0.45%,,,0.80%,8.27%,-0.40%
"שיעור דמי ניהול
ממוצע לשנת
2017",96.8%,0.0,63.1,0.45%,- - -,- - -,- - -,- - -,- - -,- - -,,מיטב דש ביטחון מבטיח תשואה 4.5%,120,79.9%,285.3,"275,298.8",0.59%,0.45%,,,0.80%,8.27%,-0.40%
"שיעור דמי ניהול
ממוצע לשנת
2017",85.6%,0.0,26.5,- - -,- - -,1.35,0.51,0.12%,9.26%,-0.02%,לא פעיל,ישיר תוחלת,121,79.9%,285.3,"275,298.8",0.59%,0.45%,,,0.80%,8.27%,-0.40%
