TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות גמל לחודש 07/2003,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox103,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox105,Textbox92,Textbox93,Textbox94,Textbox104,Textbox106,Textbox107,Textbox108,Textbox98,Textbox99
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-16.7,"9,705.4",0.70%,0.61%,- - -,- - -,- - -,10.07%,-1.43%,," *** הראל אג""ח עד 25% מניות ",101,,-196.7,"176,329.3",0.59%,0.45%,,,,9.03%,-1.10%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-1.7,"1,264.6",- - -,- - -,- - -,- - -,- - -,9.16%,-0.97%,לא פעיל, *** אקסלנס גמל פלטינום,102,,-196.7,"176,329.3",0.59%,0.45%,,,,9.03%,-1.10%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-14.2,"3,898.0",0.70%,0.61%,- - -,- - -,- - -,8.59%,-0.88%,, *** מיטב דש גמל לבני  50-60,103,,-196.7,"176,329.3",0.59%,0.45%,,,,9.03%,-1.10%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-8.9,"2,271.7",- - -,- - -,- - -,- - -,- - -,10.39%,-1.35%,לא פעיל,פסגות צור,104,,-196.7,"176,329.3",0.59%,0.45%,,,,9.03%,-1.10%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.2,119.9,- - -,- - -,- - -,- - -,- - -,8.76%,-1.56%,לא פעיל,ישיר המלאכה,105,,-196.7,"176,329.3",0.59%,0.45%,,,,9.03%,-1.10%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,10.7,"15,587.5",- - -,- - -,- - -,- - -,- - -,9.28%,-1.23%,לא פעיל, *** פסגות גדיש כללי,106,,-196.7,"176,329.3",0.59%,0.45%,,,,9.03%,-1.10%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-5.2,397.5,0.58%,0.00%,- - -,- - -,- - -,8.26%,-0.45%,," *** הלמן-אלדובי בר-יציב אג""ח עד 25% במניות",107,,-196.7,"176,329.3",0.59%,0.45%,,,,9.03%,-1.10%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-2.1,188.8,- - -,- - -,- - -,- - -,- - -,7.72%,-0.84%,לא פעיל,** נדבכים,108,,-196.7,"176,329.3",0.59%,0.45%,,,,9.03%,-1.10%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.1,6.2,- - -,- - -,- - -,- - -,- - -,23.38%,-3.40%,לא פעיל, *** להיט מניות,109,,-196.7,"176,329.3",0.59%,0.45%,,,,9.03%,-1.10%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.0,50.4,- - -,- - -,- - -,- - -,- - -,7.45%,-0.62%,לא פעיל,** ויתקין,110,,-196.7,"176,329.3",0.59%,0.45%,,,,9.03%,-1.10%
