TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות גמל לחודש 07/2006,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox103,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox105,Textbox92,Textbox93,Textbox94,Textbox104,Textbox106,Textbox107,Textbox108,Textbox98,Textbox99
"שיעור דמי ניהול
ממוצע לשנת
2017",84.7%,-59.8,"12,508.4",0.70%,0.61%,0.76,0.21,- - -,2.50%,1.03%,," *** הראל אג""ח עד 25% מניות ",101,84.6%,64.7,"241,886.5",0.59%,0.45%,,,,2.45%,0.86%
"שיעור דמי ניהול
ממוצע לשנת
2017",79.7%,-2.3,"1,804.5",- - -,- - -,0.88,0.46,- - -,2.24%,0.52%,לא פעיל, *** אקסלנס גמל פלטינום,102,84.6%,64.7,"241,886.5",0.59%,0.45%,,,,2.45%,0.86%
"שיעור דמי ניהול
ממוצע לשנת
2017",87.3%,-26.4,"4,605.6",0.70%,0.61%,0.80,-0.57,- - -,1.81%,1.01%,, *** מיטב דש גמל לבני  50-60,103,84.6%,64.7,"241,886.5",0.59%,0.45%,,,,2.45%,0.86%
"שיעור דמי ניהול
ממוצע לשנת
2017",81.5%,-15.0,"2,633.2",- - -,- - -,0.77,0.88,- - -,2.65%,0.98%,לא פעיל,פסגות צור,104,84.6%,64.7,"241,886.5",0.59%,0.45%,,,,2.45%,0.86%
"שיעור דמי ניהול
ממוצע לשנת
2017",87.0%,-0.1,123.9,- - -,- - -,0.71,0.43,- - -,2.32%,0.88%,לא פעיל,ישיר המלאכה,105,84.6%,64.7,"241,886.5",0.59%,0.45%,,,,2.45%,0.86%
"שיעור דמי ניהול
ממוצע לשנת
2017",87.1%,-93.1,"20,309.5",- - -,- - -,0.79,0.07,- - -,2.04%,1.17%,לא פעיל, *** פסגות גדיש כללי,106,84.6%,64.7,"241,886.5",0.59%,0.45%,,,,2.45%,0.86%
"שיעור דמי ניהול
ממוצע לשנת
2017",81.3%,-4.1,476.1,0.58%,0.00%,0.61,-0.41,- - -,2.75%,0.31%,," *** הלמן-אלדובי בר-יציב אג""ח עד 25% במניות",107,84.6%,64.7,"241,886.5",0.59%,0.45%,,,,2.45%,0.86%
"שיעור דמי ניהול
ממוצע לשנת
2017",85.7%,0.0,36.6,- - -,- - -,1.10,0.42,- - -,0.32%,1.50%,לא פעיל, *** להיט מניות,109,84.6%,64.7,"241,886.5",0.59%,0.45%,,,,2.45%,0.86%
"שיעור דמי ניהול
ממוצע לשנת
2017",90.6%,-0.1,61.2,- - -,- - -,0.68,-1.88,- - -,1.27%,0.74%,לא פעיל,** ויתקין,110,84.6%,64.7,"241,886.5",0.59%,0.45%,,,,2.45%,0.86%
"שיעור דמי ניהול
ממוצע לשנת
2017",83.6%,-11.2,"1,056.0",- - -,- - -,0.72,0.65,- - -,2.26%,1.15%,לא פעיל, *** מיטב מירון,111,84.6%,64.7,"241,886.5",0.59%,0.45%,,,,2.45%,0.86%
