TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות גמל לחודש 08/2009,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox103,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox105,Textbox92,Textbox93,Textbox94,Textbox104,Textbox106,Textbox107,Textbox108,Textbox98,Textbox99
"שיעור דמי ניהול
ממוצע לשנת
2017",76.2%,-25.5,"9,614.5",0.70%,0.61%,0.27,-0.13,0.00%,24.73%,1.74%,," *** הראל אג""ח עד 25% מניות ",101,83.9%,180.9,"264,841.6",0.59%,0.45%,,,0.15%,21.98%,1.29%
"שיעור דמי ניהול
ממוצע לשנת
2017",75.9%,-13.6,"1,489.1",- - -,- - -,0.36,0.34,0.84%,25.15%,2.07%,לא פעיל, *** אקסלנס גמל פלטינום,102,83.9%,180.9,"264,841.6",0.59%,0.45%,,,0.15%,21.98%,1.29%
"שיעור דמי ניהול
ממוצע לשנת
2017",81.4%,-19.9,"3,608.0",0.70%,0.61%,0.56,1.28,0.96%,23.60%,1.35%,, *** מיטב דש גמל לבני  50-60,103,83.9%,180.9,"264,841.6",0.59%,0.45%,,,0.15%,21.98%,1.29%
"שיעור דמי ניהול
ממוצע לשנת
2017",77.0%,-15.2,"1,463.4",- - -,- - -,-0.06,-0.76,-2.76%,29.06%,1.53%,לא פעיל,פסגות צור,104,83.9%,180.9,"264,841.6",0.59%,0.45%,,,0.15%,21.98%,1.29%
"שיעור דמי ניהול
ממוצע לשנת
2017",76.5%,-1.6,80.9,- - -,- - -,0.28,-0.12,-0.36%,22.87%,1.51%,לא פעיל,ישיר המלאכה,105,83.9%,180.9,"264,841.6",0.59%,0.45%,,,0.15%,21.98%,1.29%
"שיעור דמי ניהול
ממוצע לשנת
2017",81.1%,-11.3,"17,275.6",- - -,- - -,0.34,0.19,0.24%,22.58%,1.03%,לא פעיל, *** פסגות גדיש כללי,106,83.9%,180.9,"264,841.6",0.59%,0.45%,,,0.15%,21.98%,1.29%
"שיעור דמי ניהול
ממוצע לשנת
2017",80.4%,-0.5,427.1,0.58%,0.00%,0.45,0.22,1.56%,21.49%,0.41%,," *** הלמן-אלדובי בר-יציב אג""ח עד 25% במניות",107,83.9%,180.9,"264,841.6",0.59%,0.45%,,,0.15%,21.98%,1.29%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.2%,0.7,20.2,- - -,- - -,-0.07,-0.41,-3.12%,38.33%,2.66%,לא פעיל, *** להיט מניות,109,83.9%,180.9,"264,841.6",0.59%,0.45%,,,0.15%,21.98%,1.29%
"שיעור דמי ניהול
ממוצע לשנת
2017",74.6%,-6.3,718.7,- - -,- - -,0.25,-0.15,-0.60%,26.87%,1.65%,לא פעיל, *** מיטב מירון,111,83.9%,180.9,"264,841.6",0.59%,0.45%,,,0.15%,21.98%,1.29%
"שיעור דמי ניהול
ממוצע לשנת
2017",78.9%,-12.6,"2,042.0",- - -,- - -,-0.10,-0.97,-2.52%,26.25%,1.13%,לא פעיל, *** פסגות קרן אור,113,83.9%,180.9,"264,841.6",0.59%,0.45%,,,0.15%,21.98%,1.29%
"שיעור דמי ניהול
ממוצע לשנת
2017",88.6%,1.0,13.8,- - -,- - -,0.48,0.63,0.00%,20.14%,0.94%,לא פעיל,אי.בי.אי שחר,114,83.9%,180.9,"264,841.6",0.59%,0.45%,,,0.15%,21.98%,1.29%
"שיעור דמי ניהול
ממוצע לשנת
2017",90.1%,-3.8,759.0,- - -,- - -,0.59,0.28,0.84%,13.01%,0.08%,לא פעיל, *** ** הגומל מסלול כללי,115,83.9%,180.9,"264,841.6",0.59%,0.45%,,,0.15%,21.98%,1.29%
"שיעור דמי ניהול
ממוצע לשנת
2017",90.4%,21.7,549.4,0.58%,0.04%,0.95,0.34,0.60%,12.97%,1.08%,," *** כלל תמר אג""ח ",117,83.9%,180.9,"264,841.6",0.59%,0.45%,,,0.15%,21.98%,1.29%
"שיעור דמי ניהול
ממוצע לשנת
2017",77.5%,-2.0,131.0,0.51%,- - -,0.32,0.23,0.84%,54.13%,2.29%,,אנליסט קופה מרכזית לפיצויים מסלול כללי,118,83.9%,180.9,"264,841.6",0.59%,0.45%,,,0.15%,21.98%,1.29%
"שיעור דמי ניהול
ממוצע לשנת
2017",81.8%,1.6,683.8,0.73%,0.32%,0.27,-0.01,-0.84%,27.20%,1.46%,,מנורה מבטחים יותר מסלול ד,119,83.9%,180.9,"264,841.6",0.59%,0.45%,,,0.15%,21.98%,1.29%
"שיעור דמי ניהול
ממוצע לשנת
2017",95.6%,0.0,66.4,0.45%,- - -,- - -,- - -,- - -,- - -,- - -,,מיטב דש ביטחון מבטיח תשואה 4.5%,120,83.9%,180.9,"264,841.6",0.59%,0.45%,,,0.15%,21.98%,1.29%
"שיעור דמי ניהול
ממוצע לשנת
2017",82.3%,0.1,19.3,- - -,- - -,0.50,0.81,1.08%,29.41%,1.68%,לא פעיל,ישיר תוחלת,121,83.9%,180.9,"264,841.6",0.59%,0.45%,,,0.15%,21.98%,1.29%
"שיעור דמי ניהול
ממוצע לשנת
2017",79.0%,-2.5,67.7,- - -,- - -,0.12,-0.50,-1.68%,28.22%,1.72%,לא פעיל,מנורה גמל פלס,122,83.9%,180.9,"264,841.6",0.59%,0.45%,,,0.15%,21.98%,1.29%
"שיעור דמי ניהול
ממוצע לשנת
2017",81.1%,-0.2,182.1,- - -,- - -,0.47,0.75,1.92%,24.44%,2.12%,לא פעיל, *** אקסלנס גמולה,123,83.9%,180.9,"264,841.6",0.59%,0.45%,,,0.15%,21.98%,1.29%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.8%,39.1,"1,143.3",0.54%,0.08%,1.01,0.46,0.84%,14.97%,0.80%,, *** כלל תמר מדד,124,83.9%,180.9,"264,841.6",0.59%,0.45%,,,0.15%,21.98%,1.29%
"שיעור דמי ניהול
ממוצע לשנת
2017",85.7%,52.0,478.3,- - -,- - -,0.32,0.08,0.00%,25.49%,1.34%,לא פעיל, *** אשכולות כללי,125,83.9%,180.9,"264,841.6",0.59%,0.45%,,,0.15%,21.98%,1.29%
"שיעור דמי ניהול
ממוצע לשנת
2017",93.4%,-1.1,29.7,- - -,- - -,-0.23,-0.38,0.48%,6.83%,1.07%,לא פעיל," *** כלל תמר מט""ח",126,83.9%,180.9,"264,841.6",0.59%,0.45%,,,0.15%,21.98%,1.29%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.9%,2.2,116.9,0.61%,0.05%,0.18,0.05,0.48%,61.07%,1.11%,, *** כלל תמר מניות,127,83.9%,180.9,"264,841.6",0.59%,0.45%,,,0.15%,21.98%,1.29%
"שיעור דמי ניהול
ממוצע לשנת
2017",99.9%,-104.3,848.1,0.54%,0.03%,1.38,-0.17,0.24%,0.82%,0.08%,, *** כלל תמר שקלי טווח קצר,128,83.9%,180.9,"264,841.6",0.59%,0.45%,,,0.15%,21.98%,1.29%
"שיעור דמי ניהול
ממוצע לשנת
2017",80.1%,-2.3,26.2,- - -,- - -,0.17,-1.07,-0.96%,22.46%,1.57%,לא פעיל, *** ** יבול,129,83.9%,180.9,"264,841.6",0.59%,0.45%,,,0.15%,21.98%,1.29%
"שיעור דמי ניהול
ממוצע לשנת
2017",87.1%,0.1,121.2,0.68%,- - -,0.33,-0.10,-0.60%,16.17%,0.90%,,** שובל,130,83.9%,180.9,"264,841.6",0.59%,0.45%,,,0.15%,21.98%,1.29%
"שיעור דמי ניהול
ממוצע לשנת
2017",78.5%,1.3,502.7,0.96%,- - -,0.19,-0.62,-0.36%,24.73%,1.65%,, *** הלמן-אלדובי השתלמות כללי,132,83.9%,180.9,"264,841.6",0.59%,0.45%,,,0.15%,21.98%,1.29%
"שיעור דמי ניהול
ממוצע לשנת
2017",80.5%,-4.6,150.6,- - -,- - -,0.32,-0.12,-0.48%,18.43%,1.09%,לא פעיל,** ישיר מניפה,133,83.9%,180.9,"264,841.6",0.59%,0.45%,,,0.15%,21.98%,1.29%
"שיעור דמי ניהול
ממוצע לשנת
2017",74.8%,-1.2,90.7,- - -,- - -,0.41,0.45,0.96%,29.76%,2.10%,לא פעיל, *** דש קפיטל גמל זהב,135,83.9%,180.9,"264,841.6",0.59%,0.45%,,,0.15%,21.98%,1.29%
"שיעור דמי ניהול
ממוצע לשנת
2017",76.6%,2.7,130.7,- - -,- - -,0.35,0.26,0.60%,30.61%,1.95%,לא פעיל, *** דש קפיטל גמל,136,83.9%,180.9,"264,841.6",0.59%,0.45%,,,0.15%,21.98%,1.29%
"שיעור דמי ניהול
ממוצע לשנת
2017",77.1%,1.3,642.7,- - -,- - -,0.36,0.31,0.48%,29.58%,1.96%,לא פעיל, *** דש קפיטל השתלמות,137,83.9%,180.9,"264,841.6",0.59%,0.45%,,,0.15%,21.98%,1.29%
"שיעור דמי ניהול
ממוצע לשנת
2017",80.5%,-0.3,177.2,- - -,- - -,0.57,1.06,2.04%,27.89%,1.93%,לא פעיל, *** דש קפיטל-פיצויים,138,83.9%,180.9,"264,841.6",0.59%,0.45%,,,0.15%,21.98%,1.29%
"שיעור דמי ניהול
ממוצע לשנת
2017",80.4%,-0.1,41.4,- - -,- - -,0.39,0.64,0.36%,31.41%,1.90%,לא פעיל, *** ** כלל דגש,139,83.9%,180.9,"264,841.6",0.59%,0.45%,,,0.15%,21.98%,1.29%
"שיעור דמי ניהול
ממוצע לשנת
2017",78.2%,-1.0,110.5,- - -,- - -,0.04,-0.29,0.36%,39.64%,2.49%,לא פעיל, *** תגמולים,143,83.9%,180.9,"264,841.6",0.59%,0.45%,,,0.15%,21.98%,1.29%
"שיעור דמי ניהול
ממוצע לשנת
2017",76.0%,-2.1,164.4,- - -,- - -,0.02,-0.32,0.12%,40.32%,2.87%,לא פעיל, *** הלמן-אלדובי השתלמות,145,83.9%,180.9,"264,841.6",0.59%,0.45%,,,0.15%,21.98%,1.29%
"שיעור דמי ניהול
ממוצע לשנת
2017",88.2%,2.8,518.0,- - -,- - -,0.69,0.02,0.84%,10.43%,0.35%,לא פעיל, *** חריש,146,83.9%,180.9,"264,841.6",0.59%,0.45%,,,0.15%,21.98%,1.29%
"שיעור דמי ניהול
ממוצע לשנת
2017",84.5%,-0.3,78.7,- - -,- - -,0.40,-0.06,0.00%,13.62%,0.74%,לא פעיל, *** ערד,147,83.9%,180.9,"264,841.6",0.59%,0.45%,,,0.15%,21.98%,1.29%
"שיעור דמי ניהול
ממוצע לשנת
2017",78.5%,-5.2,446.0,- - -,- - -,-0.09,-0.85,-0.96%,30.85%,1.70%,לא פעיל,פסגות חרמון,148,83.9%,180.9,"264,841.6",0.59%,0.45%,,,0.15%,21.98%,1.29%
