TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות גמל לחודש 09/2002,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox103,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox105,Textbox92,Textbox93,Textbox94,Textbox104,Textbox106,Textbox107,Textbox108,Textbox98,Textbox99
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-81.8,"9,514.8",0.70%,0.61%,- - -,- - -,- - -,-3.95%,-1.98%,," *** הראל אג""ח עד 25% מניות ",101,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-6.4,"1,172.0",- - -,- - -,- - -,- - -,- - -,-2.34%,-1.96%,לא פעיל, *** אקסלנס גמל פלטינום,102,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-17.3,"3,724.8",0.70%,0.61%,- - -,- - -,- - -,-0.74%,-1.61%,, *** מיטב דש גמל לבני  50-60,103,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-20.1,"2,248.9",- - -,- - -,- - -,- - -,- - -,-5.23%,-2.42%,לא פעיל,פסגות צור,104,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-1.2,126.8,- - -,- - -,- - -,- - -,- - -,-4.17%,-2.02%,לא פעיל,ישיר המלאכה,105,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-95.1,"14,804.1",- - -,- - -,- - -,- - -,- - -,-2.80%,-1.94%,לא פעיל, *** פסגות גדיש כללי,106,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-7.3,450.1,0.58%,0.00%,- - -,- - -,- - -,-2.91%,-2.03%,," *** הלמן-אלדובי בר-יציב אג""ח עד 25% במניות",107,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-1.3,195.0,- - -,- - -,- - -,- - -,- - -,0.77%,-0.16%,לא פעיל,** נדבכים,108,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.1,5.6,- - -,- - -,- - -,- - -,- - -,-8.57%,-3.95%,לא פעיל, *** להיט מניות,109,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.4,48.4,- - -,- - -,- - -,- - -,- - -,-1.78%,-1.79%,לא פעיל,** ויתקין,110,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-8.3,874.8,- - -,- - -,- - -,- - -,- - -,-3.95%,-2.02%,לא פעיל, *** מיטב מירון,111,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-2.2,141.4,- - -,- - -,- - -,- - -,- - -,-4.82%,-2.60%,לא פעיל,הראל רימון,112,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-10.4,"2,316.5",- - -,- - -,- - -,- - -,- - -,-2.61%,-1.86%,לא פעיל, *** פסגות קרן אור,113,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.1,23.2,- - -,- - -,- - -,- - -,- - -,0.54%,-1.06%,לא פעיל,אי.בי.אי שחר,114,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.4,519.9,- - -,- - -,- - -,- - -,- - -,-2.19%,-1.71%,לא פעיל, *** ** הגומל מסלול כללי,115,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.0,2.5,- - -,- - -,- - -,- - -,- - -,-0.44%,-0.37%,לא פעיל,** סוכני הבטוח,116,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.0,7.5,0.58%,0.04%,- - -,- - -,- - -,0.68%,-0.89%,," *** כלל תמר אג""ח ",117,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.2,9.3,0.51%,- - -,- - -,- - -,- - -,-2.47%,-2.32%,,אנליסט קופה מרכזית לפיצויים מסלול כללי,118,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.4,531.7,0.73%,0.32%,- - -,- - -,- - -,-1.17%,-1.60%,,מנורה מבטחים יותר מסלול ד,119,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.8,53.5,0.45%,- - -,- - -,- - -,- - -,- - -,- - -,,מיטב דש ביטחון מבטיח תשואה 4.5%,120,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.1,26.0,- - -,- - -,- - -,- - -,- - -,-3.94%,-2.02%,לא פעיל,ישיר תוחלת,121,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-1.6,88.4,- - -,- - -,- - -,- - -,- - -,-1.61%,-1.66%,לא פעיל,מנורה גמל פלס,122,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.1,91.7,- - -,- - -,- - -,- - -,- - -,-7.18%,-2.87%,לא פעיל, *** אקסלנס גמולה,123,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-9.2,413.2,0.54%,0.08%,- - -,- - -,- - -,1.73%,-0.32%,, *** כלל תמר מדד,124,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.7,77.7,- - -,- - -,- - -,- - -,- - -,0.61%,-0.60%,לא פעיל, *** אשכולות כללי,125,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.7,52.5,- - -,- - -,- - -,- - -,- - -,7.35%,4.09%,לא פעיל," *** כלל תמר מט""ח",126,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.0,27.5,0.61%,0.05%,- - -,- - -,- - -,-10.06%,-3.25%,, *** כלל תמר מניות,127,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.3,31.2,0.54%,0.03%,- - -,- - -,- - -,-3.17%,-1.31%,, *** כלל תמר שקלי טווח קצר,128,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.0,20.1,- - -,- - -,- - -,- - -,- - -,-8.34%,-3.63%,לא פעיל, *** ** יבול,129,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.3,75.7,0.68%,- - -,- - -,- - -,- - -,1.92%,-0.80%,,** שובל,130,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.9,343.1,0.96%,- - -,- - -,- - -,- - -,-5.05%,-2.86%,, *** הלמן-אלדובי השתלמות כללי,132,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-1.5,165.5,- - -,- - -,- - -,- - -,- - -,-1.27%,-1.20%,לא פעיל,** ישיר מניפה,133,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.7,43.8,- - -,- - -,- - -,- - -,- - -,-0.46%,-1.15%,לא פעיל, *** דש קפיטל גמל זהב,135,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.2,38.3,- - -,- - -,- - -,- - -,- - -,-0.79%,-1.37%,לא פעיל, *** דש קפיטל גמל,136,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,5.9,200.8,- - -,- - -,- - -,- - -,- - -,-0.86%,-1.35%,לא פעיל, *** דש קפיטל השתלמות,137,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.4,52.9,- - -,- - -,- - -,- - -,- - -,-0.33%,-1.22%,לא פעיל, *** דש קפיטל-פיצויים,138,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.1,29.2,- - -,- - -,- - -,- - -,- - -,-2.90%,-1.78%,לא פעיל, *** ** כלל דגש,139,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.0,15.8,- - -,- - -,- - -,- - -,- - -,-2.01%,-1.53%,לא פעיל,מבטחים-פיצויים,140,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.0,18.2,- - -,- - -,- - -,- - -,- - -,1.27%,-2.37%,לא פעיל,הלמן-אלדובי ברק,142,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.1,134.7,- - -,- - -,- - -,- - -,- - -,3.01%,-1.05%,לא פעיל, *** תגמולים,143,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.1,28.1,- - -,- - -,- - -,- - -,- - -,3.08%,-0.99%,לא פעיל,הלמן-אלדובי לפיצויים,144,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.9,218.2,- - -,- - -,- - -,- - -,- - -,3.24%,-1.09%,לא פעיל, *** הלמן-אלדובי השתלמות,145,,-537.2,"164,123.2",0.59%,0.45%,,,,-2.12%,-1.64%
