TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות גמל לחודש 08/2005,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox103,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox105,Textbox92,Textbox93,Textbox94,Textbox104,Textbox106,Textbox107,Textbox108,Textbox98,Textbox99
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-16.9,"12,135.3",0.70%,0.61%,- - -,- - -,- - -,9.50%,1.97%,," *** הראל אג""ח עד 25% מניות ",101,,-80.3,"227,490.3",0.59%,0.45%,,,,9.64%,1.93%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-1.8,"1,724.8",- - -,- - -,- - -,- - -,- - -,9.52%,2.10%,לא פעיל, *** אקסלנס גמל פלטינום,102,,-80.3,"227,490.3",0.59%,0.45%,,,,9.64%,1.93%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-15.1,"4,563.7",0.70%,0.61%,- - -,- - -,- - -,9.80%,1.93%,, *** מיטב דש גמל לבני  50-60,103,,-80.3,"227,490.3",0.59%,0.45%,,,,9.64%,1.93%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-9.0,"2,592.2",- - -,- - -,- - -,- - -,- - -,9.84%,2.11%,לא פעיל,פסגות צור,104,,-80.3,"227,490.3",0.59%,0.45%,,,,9.64%,1.93%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-1.0,126.0,- - -,- - -,- - -,- - -,- - -,9.60%,2.01%,לא פעיל,ישיר המלאכה,105,,-80.3,"227,490.3",0.59%,0.45%,,,,9.64%,1.93%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-25.0,"19,607.1",- - -,- - -,- - -,- - -,- - -,10.19%,2.03%,לא פעיל, *** פסגות גדיש כללי,106,,-80.3,"227,490.3",0.59%,0.45%,,,,9.64%,1.93%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-1.0,481.2,0.58%,0.00%,- - -,- - -,- - -,7.08%,1.55%,," *** הלמן-אלדובי בר-יציב אג""ח עד 25% במניות",107,,-80.3,"227,490.3",0.59%,0.45%,,,,9.64%,1.93%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.8,26.1,- - -,- - -,- - -,- - -,- - -,18.14%,3.82%,לא פעיל, *** להיט מניות,109,,-80.3,"227,490.3",0.59%,0.45%,,,,9.64%,1.93%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.3,59.7,- - -,- - -,- - -,- - -,- - -,9.38%,1.91%,לא פעיל,** ויתקין,110,,-80.3,"227,490.3",0.59%,0.45%,,,,9.64%,1.93%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-4.9,"1,042.2",- - -,- - -,- - -,- - -,- - -,9.83%,2.05%,לא פעיל, *** מיטב מירון,111,,-80.3,"227,490.3",0.59%,0.45%,,,,9.64%,1.93%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-1.1,185.3,- - -,- - -,- - -,- - -,- - -,9.99%,2.11%,לא פעיל,הראל רימון,112,,-80.3,"227,490.3",0.59%,0.45%,,,,9.64%,1.93%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-3.0,"2,971.0",- - -,- - -,- - -,- - -,- - -,10.61%,2.02%,לא פעיל, *** פסגות קרן אור,113,,-80.3,"227,490.3",0.59%,0.45%,,,,9.64%,1.93%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.0,17.0,- - -,- - -,- - -,- - -,- - -,6.24%,1.57%,לא פעיל,אי.בי.אי שחר,114,,-80.3,"227,490.3",0.59%,0.45%,,,,9.64%,1.93%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,1.1,731.6,- - -,- - -,- - -,- - -,- - -,9.46%,1.93%,לא פעיל, *** ** הגומל מסלול כללי,115,,-80.3,"227,490.3",0.59%,0.45%,,,,9.64%,1.93%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.1,17.5,0.58%,0.04%,- - -,- - -,- - -,7.16%,1.54%,," *** כלל תמר אג""ח ",117,,-80.3,"227,490.3",0.59%,0.45%,,,,9.64%,1.93%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.9,77.0,0.51%,- - -,- - -,- - -,- - -,11.52%,2.20%,,אנליסט קופה מרכזית לפיצויים מסלול כללי,118,,-80.3,"227,490.3",0.59%,0.45%,,,,9.64%,1.93%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,2.8,672.9,0.73%,0.32%,- - -,- - -,- - -,8.71%,1.63%,,מנורה מבטחים יותר מסלול ד,119,,-80.3,"227,490.3",0.59%,0.45%,,,,9.64%,1.93%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.1,58.3,0.45%,- - -,- - -,- - -,- - -,- - -,- - -,,מיטב דש ביטחון מבטיח תשואה 4.5%,120,,-80.3,"227,490.3",0.59%,0.45%,,,,9.64%,1.93%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.1,26.6,- - -,- - -,- - -,- - -,- - -,9.79%,2.03%,לא פעיל,ישיר תוחלת,121,,-80.3,"227,490.3",0.59%,0.45%,,,,9.64%,1.93%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.3,93.5,- - -,- - -,- - -,- - -,- - -,7.50%,1.66%,לא פעיל,מנורה גמל פלס,122,,-80.3,"227,490.3",0.59%,0.45%,,,,9.64%,1.93%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,1.0,162.5,- - -,- - -,- - -,- - -,- - -,10.72%,2.32%,לא פעיל, *** אקסלנס גמולה,123,,-80.3,"227,490.3",0.59%,0.45%,,,,9.64%,1.93%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,2.4,582.3,0.54%,0.08%,- - -,- - -,- - -,8.02%,1.80%,, *** כלל תמר מדד,124,,-80.3,"227,490.3",0.59%,0.45%,,,,9.64%,1.93%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.9,233.0,- - -,- - -,- - -,- - -,- - -,5.02%,0.75%,לא פעיל, *** אשכולות כללי,125,,-80.3,"227,490.3",0.59%,0.45%,,,,9.64%,1.93%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.8,55.6,- - -,- - -,- - -,- - -,- - -,6.33%,0.50%,לא פעיל," *** כלל תמר מט""ח",126,,-80.3,"227,490.3",0.59%,0.45%,,,,9.64%,1.93%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.1,86.8,0.61%,0.05%,- - -,- - -,- - -,10.82%,3.72%,, *** כלל תמר מניות,127,,-80.3,"227,490.3",0.59%,0.45%,,,,9.64%,1.93%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.2,54.3,0.54%,0.03%,- - -,- - -,- - -,2.78%,0.35%,, *** כלל תמר שקלי טווח קצר,128,,-80.3,"227,490.3",0.59%,0.45%,,,,9.64%,1.93%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,1.1,31.3,- - -,- - -,- - -,- - -,- - -,10.48%,1.93%,לא פעיל, *** ** יבול,129,,-80.3,"227,490.3",0.59%,0.45%,,,,9.64%,1.93%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.6,122.4,0.68%,- - -,- - -,- - -,- - -,8.33%,1.52%,,** שובל,130,,-80.3,"227,490.3",0.59%,0.45%,,,,9.64%,1.93%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.2,530.9,0.96%,- - -,- - -,- - -,- - -,11.05%,2.17%,, *** הלמן-אלדובי השתלמות כללי,132,,-80.3,"227,490.3",0.59%,0.45%,,,,9.64%,1.93%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.3,207.1,- - -,- - -,- - -,- - -,- - -,9.20%,2.01%,לא פעיל,** ישיר מניפה,133,,-80.3,"227,490.3",0.59%,0.45%,,,,9.64%,1.93%
