TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות גמל לחודש 07/2004,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox103,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox105,Textbox92,Textbox93,Textbox94,Textbox104,Textbox106,Textbox107,Textbox108,Textbox98,Textbox99
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,1.5,"10,812.4",0.70%,0.61%,- - -,- - -,- - -,4.35%,-0.65%,," *** הראל אג""ח עד 25% מניות ",101,,352.7,"196,528.4",0.59%,0.45%,,,,4.24%,-0.57%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,9.6,"1,439.0",- - -,- - -,- - -,- - -,- - -,4.50%,-0.60%,לא פעיל, *** אקסלנס גמל פלטינום,102,,352.7,"196,528.4",0.59%,0.45%,,,,4.24%,-0.57%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-12.9,"4,168.2",0.70%,0.61%,- - -,- - -,- - -,4.10%,-0.54%,, *** מיטב דש גמל לבני  50-60,103,,352.7,"196,528.4",0.59%,0.45%,,,,4.24%,-0.57%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-11.1,"2,422.3",- - -,- - -,- - -,- - -,- - -,4.44%,-0.86%,לא פעיל,פסגות צור,104,,352.7,"196,528.4",0.59%,0.45%,,,,4.24%,-0.57%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.1,124.1,- - -,- - -,- - -,- - -,- - -,3.89%,-0.89%,לא פעיל,ישיר המלאכה,105,,352.7,"196,528.4",0.59%,0.45%,,,,4.24%,-0.57%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,4.1,"17,272.3",- - -,- - -,- - -,- - -,- - -,4.39%,-0.75%,לא פעיל, *** פסגות גדיש כללי,106,,352.7,"196,528.4",0.59%,0.45%,,,,4.24%,-0.57%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.2,440.5,0.58%,0.00%,- - -,- - -,- - -,4.79%,-0.17%,," *** הלמן-אלדובי בר-יציב אג""ח עד 25% במניות",107,,352.7,"196,528.4",0.59%,0.45%,,,,4.24%,-0.57%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-1.5,185.9,- - -,- - -,- - -,- - -,- - -,4.07%,-0.38%,לא פעיל,** נדבכים,108,,352.7,"196,528.4",0.59%,0.45%,,,,4.24%,-0.57%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,1.2,17.2,- - -,- - -,- - -,- - -,- - -,10.03%,-4.66%,לא פעיל, *** להיט מניות,109,,352.7,"196,528.4",0.59%,0.45%,,,,4.24%,-0.57%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.0,52.6,- - -,- - -,- - -,- - -,- - -,4.02%,-0.53%,לא פעיל,** ויתקין,110,,352.7,"196,528.4",0.59%,0.45%,,,,4.24%,-0.57%
