TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות גמל לחודש 06/2002,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox103,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox105,Textbox92,Textbox93,Textbox94,Textbox104,Textbox106,Textbox107,Textbox108,Textbox98,Textbox99
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-40.4,"9,824.0",0.70%,0.61%,- - -,- - -,- - -,-3.16%,-1.86%,," *** הראל אג""ח עד 25% מניות ",101,,-455.7,"166,026.0",0.59%,0.45%,,,,-1.79%,-1.37%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-5.2,"1,206.5",- - -,- - -,- - -,- - -,- - -,-1.70%,-1.06%,לא פעיל, *** אקסלנס גמל פלטינום,102,,-455.7,"166,026.0",0.59%,0.45%,,,,-1.79%,-1.37%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-13.5,"3,769.2",0.70%,0.61%,- - -,- - -,- - -,-0.65%,-1.25%,, *** מיטב דש גמל לבני  50-60,103,,-455.7,"166,026.0",0.59%,0.45%,,,,-1.79%,-1.37%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-15.1,"2,345.4",- - -,- - -,- - -,- - -,- - -,-3.84%,-1.73%,לא פעיל,פסגות צור,104,,-455.7,"166,026.0",0.59%,0.45%,,,,-1.79%,-1.37%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-2.7,131.1,- - -,- - -,- - -,- - -,- - -,-3.24%,-1.18%,לא פעיל,ישיר המלאכה,105,,-455.7,"166,026.0",0.59%,0.45%,,,,-1.79%,-1.37%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-64.3,"15,153.6",- - -,- - -,- - -,- - -,- - -,-2.34%,-1.81%,לא פעיל, *** פסגות גדיש כללי,106,,-455.7,"166,026.0",0.59%,0.45%,,,,-1.79%,-1.37%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-4.9,474.9,0.58%,0.00%,- - -,- - -,- - -,-2.14%,-1.26%,," *** הלמן-אלדובי בר-יציב אג""ח עד 25% במניות",107,,-455.7,"166,026.0",0.59%,0.45%,,,,-1.79%,-1.37%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-2.4,194.9,- - -,- - -,- - -,- - -,- - -,-0.57%,-1.33%,לא פעיל,** נדבכים,108,,-455.7,"166,026.0",0.59%,0.45%,,,,-1.79%,-1.37%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.3,6.3,- - -,- - -,- - -,- - -,- - -,-6.87%,-2.04%,לא פעיל, *** להיט מניות,109,,-455.7,"166,026.0",0.59%,0.45%,,,,-1.79%,-1.37%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.2,49.6,- - -,- - -,- - -,- - -,- - -,-1.24%,-1.04%,לא פעיל,** ויתקין,110,,-455.7,"166,026.0",0.59%,0.45%,,,,-1.79%,-1.37%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-9.7,907.5,- - -,- - -,- - -,- - -,- - -,-3.27%,-1.41%,לא פעיל, *** מיטב מירון,111,,-455.7,"166,026.0",0.59%,0.45%,,,,-1.79%,-1.37%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.0,145.5,- - -,- - -,- - -,- - -,- - -,-3.67%,-1.62%,לא פעיל,הראל רימון,112,,-455.7,"166,026.0",0.59%,0.45%,,,,-1.79%,-1.37%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-9.3,"2,368.6",- - -,- - -,- - -,- - -,- - -,-2.06%,-1.57%,לא פעיל, *** פסגות קרן אור,113,,-455.7,"166,026.0",0.59%,0.45%,,,,-1.79%,-1.37%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.1,24.0,- - -,- - -,- - -,- - -,- - -,0.38%,-0.60%,לא פעיל,אי.בי.אי שחר,114,,-455.7,"166,026.0",0.59%,0.45%,,,,-1.79%,-1.37%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.6,524.8,- - -,- - -,- - -,- - -,- - -,-1.99%,-1.22%,לא פעיל, *** ** הגומל מסלול כללי,115,,-455.7,"166,026.0",0.59%,0.45%,,,,-1.79%,-1.37%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.0,2.6,- - -,- - -,- - -,- - -,- - -,-1.52%,-1.33%,לא פעיל,** סוכני הבטוח,116,,-455.7,"166,026.0",0.59%,0.45%,,,,-1.79%,-1.37%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.0,7.2,0.58%,0.04%,- - -,- - -,- - -,0.53%,-1.28%,," *** כלל תמר אג""ח ",117,,-455.7,"166,026.0",0.59%,0.45%,,,,-1.79%,-1.37%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.2,9.2,0.51%,- - -,- - -,- - -,- - -,-0.53%,-1.11%,,אנליסט קופה מרכזית לפיצויים מסלול כללי,118,,-455.7,"166,026.0",0.59%,0.45%,,,,-1.79%,-1.37%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.3,538.9,0.73%,0.32%,- - -,- - -,- - -,-1.01%,-1.30%,,מנורה מבטחים יותר מסלול ד,119,,-455.7,"166,026.0",0.59%,0.45%,,,,-1.79%,-1.37%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.0,53.8,0.45%,- - -,- - -,- - -,- - -,- - -,- - -,,מיטב דש ביטחון מבטיח תשואה 4.5%,120,,-455.7,"166,026.0",0.59%,0.45%,,,,-1.79%,-1.37%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.4,27.0,- - -,- - -,- - -,- - -,- - -,-3.10%,-1.30%,לא פעיל,ישיר תוחלת,121,,-455.7,"166,026.0",0.59%,0.45%,,,,-1.79%,-1.37%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.9,94.2,- - -,- - -,- - -,- - -,- - -,-1.17%,-1.50%,לא פעיל,מנורה גמל פלס,122,,-455.7,"166,026.0",0.59%,0.45%,,,,-1.79%,-1.37%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.2,94.0,- - -,- - -,- - -,- - -,- - -,-5.37%,-1.79%,לא פעיל, *** אקסלנס גמולה,123,,-455.7,"166,026.0",0.59%,0.45%,,,,-1.79%,-1.37%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,21.2,426.5,0.54%,0.08%,- - -,- - -,- - -,0.95%,-0.77%,, *** כלל תמר מדד,124,,-455.7,"166,026.0",0.59%,0.45%,,,,-1.79%,-1.37%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,2.2,76.2,- - -,- - -,- - -,- - -,- - -,0.09%,-0.98%,לא פעיל, *** אשכולות כללי,125,,-455.7,"166,026.0",0.59%,0.45%,,,,-1.79%,-1.37%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,2.5,52.6,- - -,- - -,- - -,- - -,- - -,5.05%,-3.41%,לא פעיל," *** כלל תמר מט""ח",126,,-455.7,"166,026.0",0.59%,0.45%,,,,-1.79%,-1.37%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.9,29.5,0.61%,0.05%,- - -,- - -,- - -,-8.06%,-2.66%,, *** כלל תמר מניות,127,,-455.7,"166,026.0",0.59%,0.45%,,,,-1.79%,-1.37%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.0,31.2,0.54%,0.03%,- - -,- - -,- - -,-2.64%,-1.73%,, *** כלל תמר שקלי טווח קצר,128,,-455.7,"166,026.0",0.59%,0.45%,,,,-1.79%,-1.37%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.0,20.8,- - -,- - -,- - -,- - -,- - -,-6.03%,-2.60%,לא פעיל, *** ** יבול,129,,-455.7,"166,026.0",0.59%,0.45%,,,,-1.79%,-1.37%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.8,73.9,0.68%,- - -,- - -,- - -,- - -,1.03%,-0.73%,,** שובל,130,,-455.7,"166,026.0",0.59%,0.45%,,,,-1.79%,-1.37%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-2.6,352.4,0.96%,- - -,- - -,- - -,- - -,-3.50%,-1.89%,, *** הלמן-אלדובי השתלמות כללי,132,,-455.7,"166,026.0",0.59%,0.45%,,,,-1.79%,-1.37%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.5,168.0,- - -,- - -,- - -,- - -,- - -,-1.08%,-1.34%,לא פעיל,** ישיר מניפה,133,,-455.7,"166,026.0",0.59%,0.45%,,,,-1.79%,-1.37%
