TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות גמל לחודש 03/2008,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox103,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox105,Textbox92,Textbox93,Textbox94,Textbox104,Textbox106,Textbox107,Textbox108,Textbox98,Textbox99
"שיעור דמי ניהול
ממוצע לשנת
2017",76.9%,-83.8,"12,151.4",0.70%,0.61%,0.54,0.56,-0.36%,-4.31%,-2.67%,," *** הראל אג""ח עד 25% מניות ",101,80.3%,-522.9,"264,132.4",0.59%,0.45%,,,-0.33%,-4.63%,-2.83%
"שיעור דמי ניהול
ממוצע לשנת
2017",75.7%,-15.6,"1,894.0",- - -,- - -,0.49,0.08,-0.12%,-5.71%,-3.29%,לא פעיל, *** אקסלנס גמל פלטינום,102,80.3%,-522.9,"264,132.4",0.59%,0.45%,,,-0.33%,-4.63%,-2.83%
"שיעור דמי ניהול
ממוצע לשנת
2017",80.7%,-44.3,"4,271.2",0.70%,0.61%,0.53,0.40,-0.60%,-3.75%,-2.63%,, *** מיטב דש גמל לבני  50-60,103,80.3%,-522.9,"264,132.4",0.59%,0.45%,,,-0.33%,-4.63%,-2.83%
"שיעור דמי ניהול
ממוצע לשנת
2017",75.4%,-35.2,"2,304.7",- - -,- - -,0.24,-1.08,-1.56%,-7.35%,-4.22%,לא פעיל,פסגות צור,104,80.3%,-522.9,"264,132.4",0.59%,0.45%,,,-0.33%,-4.63%,-2.83%
"שיעור דמי ניהול
ממוצע לשנת
2017",80.2%,-4.7,108.8,- - -,- - -,0.53,0.72,-0.36%,-5.04%,-2.97%,לא פעיל,ישיר המלאכה,105,80.3%,-522.9,"264,132.4",0.59%,0.45%,,,-0.33%,-4.63%,-2.83%
"שיעור דמי ניהול
ממוצע לשנת
2017",79.1%,-154.0,"19,702.1",- - -,- - -,0.58,0.73,-0.24%,-4.35%,-2.79%,לא פעיל, *** פסגות גדיש כללי,106,80.3%,-522.9,"264,132.4",0.59%,0.45%,,,-0.33%,-4.63%,-2.83%
"שיעור דמי ניהול
ממוצע לשנת
2017",78.5%,-7.5,466.0,0.58%,0.00%,0.53,-0.06,0.00%,-3.52%,-2.22%,," *** הלמן-אלדובי בר-יציב אג""ח עד 25% במניות",107,80.3%,-522.9,"264,132.4",0.59%,0.45%,,,-0.33%,-4.63%,-2.83%
"שיעור דמי ניהול
ממוצע לשנת
2017",85.1%,-1.0,22.7,- - -,- - -,0.44,-0.15,1.32%,-16.66%,-7.02%,לא פעיל, *** להיט מניות,109,80.3%,-522.9,"264,132.4",0.59%,0.45%,,,-0.33%,-4.63%,-2.83%
"שיעור דמי ניהול
ממוצע לשנת
2017",78.2%,-9.3,972.7,- - -,- - -,0.36,-0.60,-1.20%,-5.18%,-3.10%,לא פעיל, *** מיטב מירון,111,80.3%,-522.9,"264,132.4",0.59%,0.45%,,,-0.33%,-4.63%,-2.83%
"שיעור דמי ניהול
ממוצע לשנת
2017",76.7%,-1.3,181.7,- - -,- - -,0.54,0.32,-0.36%,-4.72%,-3.00%,לא פעיל,הראל רימון,112,80.3%,-522.9,"264,132.4",0.59%,0.45%,,,-0.33%,-4.63%,-2.83%
"שיעור דמי ניהול
ממוצע לשנת
2017",75.6%,-27.5,"2,833.3",- - -,- - -,0.38,-0.51,-1.08%,-6.07%,-3.69%,לא פעיל, *** פסגות קרן אור,113,80.3%,-522.9,"264,132.4",0.59%,0.45%,,,-0.33%,-4.63%,-2.83%
"שיעור דמי ניהול
ממוצע לשנת
2017",86.7%,0.0,13.1,- - -,- - -,0.40,0.15,-1.08%,-3.52%,-2.66%,לא פעיל,אי.בי.אי שחר,114,80.3%,-522.9,"264,132.4",0.59%,0.45%,,,-0.33%,-4.63%,-2.83%
"שיעור דמי ניהול
ממוצע לשנת
2017",90.4%,-4.5,800.2,- - -,- - -,0.76,1.23,0.60%,-3.12%,-1.64%,לא פעיל, *** ** הגומל מסלול כללי,115,80.3%,-522.9,"264,132.4",0.59%,0.45%,,,-0.33%,-4.63%,-2.83%
"שיעור דמי ניהול
ממוצע לשנת
2017",92.5%,14.7,61.7,0.58%,0.04%,0.97,0.07,0.36%,2.50%,0.51%,," *** כלל תמר אג""ח ",117,80.3%,-522.9,"264,132.4",0.59%,0.45%,,,-0.33%,-4.63%,-2.83%
"שיעור דמי ניהול
ממוצע לשנת
2017",74.9%,-0.2,176.6,0.51%,- - -,0.59,-0.16,0.00%,-4.59%,-3.81%,,אנליסט קופה מרכזית לפיצויים מסלול כללי,118,80.3%,-522.9,"264,132.4",0.59%,0.45%,,,-0.33%,-4.63%,-2.83%
"שיעור דמי ניהול
ממוצע לשנת
2017",82.9%,-2.9,727.2,0.73%,0.32%,0.51,0.02,-0.84%,-2.88%,-2.42%,,מנורה מבטחים יותר מסלול ד,119,80.3%,-522.9,"264,132.4",0.59%,0.45%,,,-0.33%,-4.63%,-2.83%
"שיעור דמי ניהול
ממוצע לשנת
2017",96.8%,0.0,58.4,0.45%,- - -,- - -,- - -,- - -,- - -,- - -,,מיטב דש ביטחון מבטיח תשואה 4.5%,120,80.3%,-522.9,"264,132.4",0.59%,0.45%,,,-0.33%,-4.63%,-2.83%
"שיעור דמי ניהול
ממוצע לשנת
2017",85.0%,-0.3,23.3,- - -,- - -,0.50,0.34,-0.36%,-5.20%,-2.75%,לא פעיל,ישיר תוחלת,121,80.3%,-522.9,"264,132.4",0.59%,0.45%,,,-0.33%,-4.63%,-2.83%
