TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות גמל לחודש 12/2009,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox103,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox105,Textbox92,Textbox93,Textbox94,Textbox104,Textbox106,Textbox107,Textbox108,Textbox98,Textbox99
"שיעור דמי ניהול
ממוצע לשנת
2017",76.4%,-51.6,"9,913.9",0.70%,0.61%,0.40,-0.21,-0.12%,31.21%,0.53%,," *** הראל אג""ח עד 25% מניות ",101,84.3%,"1,516.6","279,832.4",0.59%,0.45%,,,0.25%,28.56%,0.43%
"שיעור דמי ניהול
ממוצע לשנת
2017",75.7%,-8.5,"1,520.3",- - -,- - -,0.45,0.03,0.48%,30.59%,0.43%,לא פעיל, *** אקסלנס גמל פלטינום,102,84.3%,"1,516.6","279,832.4",0.59%,0.45%,,,0.25%,28.56%,0.43%
"שיעור דמי ניהול
ממוצע לשנת
2017",82.1%,-36.3,"3,693.0",0.70%,0.61%,0.71,1.16,1.08%,30.42%,0.56%,, *** מיטב דש גמל לבני  50-60,103,84.3%,"1,516.6","279,832.4",0.59%,0.45%,,,0.25%,28.56%,0.43%
"שיעור דמי ניהול
ממוצע לשנת
2017",77.2%,-3.1,77.4,- - -,- - -,0.43,-0.03,-0.48%,30.12%,0.41%,לא פעיל,ישיר המלאכה,105,84.3%,"1,516.6","279,832.4",0.59%,0.45%,,,0.25%,28.56%,0.43%
"שיעור דמי ניהול
ממוצע לשנת
2017",81.4%,-72.7,"19,796.8",- - -,- - -,0.54,0.63,0.36%,31.22%,0.94%,לא פעיל, *** פסגות גדיש כללי,106,84.3%,"1,516.6","279,832.4",0.59%,0.45%,,,0.25%,28.56%,0.43%
"שיעור דמי ניהול
ממוצע לשנת
2017",80.8%,0.2,447.8,0.58%,0.00%,0.60,0.08,1.44%,27.01%,0.59%,," *** הלמן-אלדובי בר-יציב אג""ח עד 25% במניות",107,84.3%,"1,516.6","279,832.4",0.59%,0.45%,,,0.25%,28.56%,0.43%
"שיעור דמי ניהול
ממוצע לשנת
2017",87.5%,-0.8,23.4,- - -,- - -,0.06,-0.23,-3.48%,55.31%,4.20%,לא פעיל, *** להיט מניות,109,84.3%,"1,516.6","279,832.4",0.59%,0.45%,,,0.25%,28.56%,0.43%
"שיעור דמי ניהול
ממוצע לשנת
2017",77.4%,-4.0,744.8,- - -,- - -,0.42,0.06,-0.48%,35.58%,0.78%,לא פעיל, *** מיטב מירון,111,84.3%,"1,516.6","279,832.4",0.59%,0.45%,,,0.25%,28.56%,0.43%
"שיעור דמי ניהול
ממוצע לשנת
2017",79.8%,-11.5,"2,138.6",- - -,- - -,0.06,-0.80,-2.64%,35.07%,1.06%,לא פעיל, *** פסגות קרן אור,113,84.3%,"1,516.6","279,832.4",0.59%,0.45%,,,0.25%,28.56%,0.43%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.5%,0.3,15.7,- - -,- - -,0.66,0.48,0.36%,26.21%,0.18%,לא פעיל,אי.בי.אי שחר,114,84.3%,"1,516.6","279,832.4",0.59%,0.45%,,,0.25%,28.56%,0.43%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.3%,-3.3,785.3,- - -,- - -,0.75,0.21,0.84%,18.66%,0.26%,לא פעיל, *** ** הגומל מסלול כללי,115,84.3%,"1,516.6","279,832.4",0.59%,0.45%,,,0.25%,28.56%,0.43%
"שיעור דמי ניהול
ממוצע לשנת
2017",90.1%,12.8,613.6,0.58%,0.04%,0.99,0.15,0.72%,15.67%,-1.48%,," *** כלל תמר אג""ח ",117,84.3%,"1,516.6","279,832.4",0.59%,0.45%,,,0.25%,28.56%,0.43%
"שיעור דמי ניהול
ממוצע לשנת
2017",80.2%,0.0,136.9,0.51%,- - -,0.42,0.25,0.60%,63.79%,0.38%,,אנליסט קופה מרכזית לפיצויים מסלול כללי,118,84.3%,"1,516.6","279,832.4",0.59%,0.45%,,,0.25%,28.56%,0.43%
"שיעור דמי ניהול
ממוצע לשנת
2017",82.8%,-4.6,724.5,0.73%,0.32%,0.42,0.02,-0.72%,34.50%,-0.15%,,מנורה מבטחים יותר מסלול ד,119,84.3%,"1,516.6","279,832.4",0.59%,0.45%,,,0.25%,28.56%,0.43%
"שיעור דמי ניהול
ממוצע לשנת
2017",95.8%,-1.3,64.1,0.45%,- - -,- - -,- - -,- - -,- - -,- - -,,מיטב דש ביטחון מבטיח תשואה 4.5%,120,84.3%,"1,516.6","279,832.4",0.59%,0.45%,,,0.25%,28.56%,0.43%
"שיעור דמי ניהול
ממוצע לשנת
2017",84.2%,0.3,21.3,- - -,- - -,0.69,1.01,1.20%,39.37%,1.21%,לא פעיל,ישיר תוחלת,121,84.3%,"1,516.6","279,832.4",0.59%,0.45%,,,0.25%,28.56%,0.43%
"שיעור דמי ניהול
ממוצע לשנת
2017",80.8%,0.2,72.8,- - -,- - -,0.28,-0.43,-1.56%,35.67%,0.13%,לא פעיל,מנורה גמל פלס,122,84.3%,"1,516.6","279,832.4",0.59%,0.45%,,,0.25%,28.56%,0.43%
"שיעור דמי ניהול
ממוצע לשנת
2017",81.7%,-1.7,190.3,- - -,- - -,0.55,0.62,1.20%,30.73%,0.44%,לא פעיל, *** אקסלנס גמולה,123,84.3%,"1,516.6","279,832.4",0.59%,0.45%,,,0.25%,28.56%,0.43%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.9%,11.2,"1,202.2",0.54%,0.08%,1.04,0.24,0.72%,17.56%,-1.40%,, *** כלל תמר מדד,124,84.3%,"1,516.6","279,832.4",0.59%,0.45%,,,0.25%,28.56%,0.43%
