TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות גמל לחודש 03/2006,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox103,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox105,Textbox92,Textbox93,Textbox94,Textbox104,Textbox106,Textbox107,Textbox108,Textbox98,Textbox99
"שיעור דמי ניהול
ממוצע לשנת
2017",85.8%,-53.7,"12,595.9",0.70%,0.61%,1.03,-0.62,- - -,1.47%,0.79%,," *** הראל אג""ח עד 25% מניות ",101,85.2%,-72.7,"240,828.8",0.59%,0.45%,,,,1.95%,0.90%
"שיעור דמי ניהול
ממוצע לשנת
2017",80.7%,-4.0,"1,828.1",- - -,- - -,1.30,1.26,- - -,2.28%,0.88%,לא פעיל, *** אקסלנס גמל פלטינום,102,85.2%,-72.7,"240,828.8",0.59%,0.45%,,,,1.95%,0.90%
"שיעור דמי ניהול
ממוצע לשנת
2017",87.1%,-20.1,"4,691.3",0.70%,0.61%,1.20,-0.47,- - -,1.63%,0.84%,, *** מיטב דש גמל לבני  50-60,103,85.2%,-72.7,"240,828.8",0.59%,0.45%,,,,1.95%,0.90%
"שיעור דמי ניהול
ממוצע לשנת
2017",82.5%,-13.7,"2,667.7",- - -,- - -,1.02,0.19,- - -,1.61%,0.84%,לא פעיל,פסגות צור,104,85.2%,-72.7,"240,828.8",0.59%,0.45%,,,,1.95%,0.90%
"שיעור דמי ניהול
ממוצע לשנת
2017",85.2%,0.4,125.0,- - -,- - -,1,0.25,- - -,1.59%,1.19%,לא פעיל,ישיר המלאכה,105,85.2%,-72.7,"240,828.8",0.59%,0.45%,,,,1.95%,0.90%
"שיעור דמי ניהול
ממוצע לשנת
2017",86.8%,-44.2,"20,545.8",- - -,- - -,1.13,0.24,- - -,1.70%,0.83%,לא פעיל, *** פסגות גדיש כללי,106,85.2%,-72.7,"240,828.8",0.59%,0.45%,,,,1.95%,0.90%
"שיעור דמי ניהול
ממוצע לשנת
2017",81.0%,-4.2,485.4,0.58%,0.00%,0.84,-0.79,- - -,2.00%,0.91%,," *** הלמן-אלדובי בר-יציב אג""ח עד 25% במניות",107,85.2%,-72.7,"240,828.8",0.59%,0.45%,,,,1.95%,0.90%
"שיעור דמי ניהול
ממוצע לשנת
2017",87.2%,1.0,39.4,- - -,- - -,1.50,1.09,- - -,4.27%,2.98%,לא פעיל, *** להיט מניות,109,85.2%,-72.7,"240,828.8",0.59%,0.45%,,,,1.95%,0.90%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.8%,-0.1,62.0,- - -,- - -,1.12,-1.25,- - -,1.78%,0.87%,לא פעיל,** ויתקין,110,85.2%,-72.7,"240,828.8",0.59%,0.45%,,,,1.95%,0.90%
"שיעור דמי ניהול
ממוצע לשנת
2017",85.1%,-8.5,"1,082.2",- - -,- - -,1.03,0.78,- - -,1.60%,1.08%,לא פעיל, *** מיטב מירון,111,85.2%,-72.7,"240,828.8",0.59%,0.45%,,,,1.95%,0.90%
