TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות גמל לחודש 12/2006,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox103,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox105,Textbox92,Textbox93,Textbox94,Textbox104,Textbox106,Textbox107,Textbox108,Textbox98,Textbox99
"שיעור דמי ניהול
ממוצע לשנת
2017",82.5%,-43.4,"12,790.0",0.70%,0.61%,0.86,-0.04,- - -,7.12%,-0.08%,," *** הראל אג""ח עד 25% מניות ",101,83.3%,"2,841.8","255,648.3",0.59%,0.45%,,,,7.31%,0.01%
"שיעור דמי ניהול
ממוצע לשנת
2017",79.9%,19.7,"1,907.3",- - -,- - -,1.09,1.14,- - -,8.32%,0.26%,לא פעיל, *** אקסלנס גמל פלטינום,102,83.3%,"2,841.8","255,648.3",0.59%,0.45%,,,,7.31%,0.01%
"שיעור דמי ניהול
ממוצע לשנת
2017",84.9%,-35.1,"4,731.4",0.70%,0.61%,0.97,0.12,- - -,7.18%,0.13%,, *** מיטב דש גמל לבני  50-60,103,83.3%,"2,841.8","255,648.3",0.59%,0.45%,,,,7.31%,0.01%
"שיעור דמי ניהול
ממוצע לשנת
2017",79.7%,-15.7,"2,680.8",- - -,- - -,0.86,0.48,- - -,7.25%,-0.17%,לא פעיל,פסגות צור,104,83.3%,"2,841.8","255,648.3",0.59%,0.45%,,,,7.31%,0.01%
"שיעור דמי ניהול
ממוצע לשנת
2017",86.1%,-0.9,124.0,- - -,- - -,0.90,0.88,- - -,8.09%,0.06%,לא פעיל,ישיר המלאכה,105,83.3%,"2,841.8","255,648.3",0.59%,0.45%,,,,7.31%,0.01%
"שיעור דמי ניהול
ממוצע לשנת
2017",85.0%,-163.5,"20,781.4",- - -,- - -,0.95,0.37,- - -,7.29%,0.31%,לא פעיל, *** פסגות גדיש כללי,106,83.3%,"2,841.8","255,648.3",0.59%,0.45%,,,,7.31%,0.01%
"שיעור דמי ניהול
ממוצע לשנת
2017",80.7%,1.0,489.6,0.58%,0.00%,0.71,-0.66,- - -,6.79%,-0.43%,," *** הלמן-אלדובי בר-יציב אג""ח עד 25% במניות",107,83.3%,"2,841.8","255,648.3",0.59%,0.45%,,,,7.31%,0.01%
"שיעור דמי ניהול
ממוצע לשנת
2017",84.3%,-1.4,39.2,- - -,- - -,1.29,0.85,- - -,13.65%,-0.48%,לא פעיל, *** להיט מניות,109,83.3%,"2,841.8","255,648.3",0.59%,0.45%,,,,7.31%,0.01%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.0,0.0,- - -,- - -,0.80,-1.52,- - -,5.94%,0.00%,לא פעיל,** ויתקין,110,83.3%,"2,841.8","255,648.3",0.59%,0.45%,,,,7.31%,0.01%
"שיעור דמי ניהול
ממוצע לשנת
2017",83.0%,5.6,"1,081.2",- - -,- - -,0.85,0.65,- - -,7.27%,-0.18%,לא פעיל, *** מיטב מירון,111,83.3%,"2,841.8","255,648.3",0.59%,0.45%,,,,7.31%,0.01%
"שיעור דמי ניהול
ממוצע לשנת
2017",80.2%,-1.2,197.5,- - -,- - -,0.91,0.61,- - -,7.50%,-0.05%,לא פעיל,הראל רימון,112,83.3%,"2,841.8","255,648.3",0.59%,0.45%,,,,7.31%,0.01%
"שיעור דמי ניהול
ממוצע לשנת
2017",83.3%,-23.8,"3,163.3",- - -,- - -,0.99,0.66,- - -,7.49%,0.27%,לא פעיל, *** פסגות קרן אור,113,83.3%,"2,841.8","255,648.3",0.59%,0.45%,,,,7.31%,0.01%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.2%,-0.5,13.8,- - -,- - -,0.67,-0.67,- - -,7.91%,0.13%,לא פעיל,אי.בי.אי שחר,114,83.3%,"2,841.8","255,648.3",0.59%,0.45%,,,,7.31%,0.01%
"שיעור דמי ניהול
ממוצע לשנת
2017",90.2%,0.4,797.4,- - -,- - -,1.01,0.71,- - -,7.88%,0.09%,לא פעיל, *** ** הגומל מסלול כללי,115,83.3%,"2,841.8","255,648.3",0.59%,0.45%,,,,7.31%,0.01%
"שיעור דמי ניהול
ממוצע לשנת
2017",86.2%,0.0,21.2,0.58%,0.04%,0.42,-1.05,- - -,4.84%,0.41%,," *** כלל תמר אג""ח ",117,83.3%,"2,841.8","255,648.3",0.59%,0.45%,,,,7.31%,0.01%
"שיעור דמי ניהול
ממוצע לשנת
2017",82.5%,8.1,151.6,0.51%,- - -,1.37,1.19,- - -,10.90%,-0.21%,,אנליסט קופה מרכזית לפיצויים מסלול כללי,118,83.3%,"2,841.8","255,648.3",0.59%,0.45%,,,,7.31%,0.01%
"שיעור דמי ניהול
ממוצע לשנת
2017",87.3%,3.4,740.7,0.73%,0.32%,0.85,-0.64,- - -,7.08%,0.25%,,מנורה מבטחים יותר מסלול ד,119,83.3%,"2,841.8","255,648.3",0.59%,0.45%,,,,7.31%,0.01%
"שיעור דמי ניהול
ממוצע לשנת
2017",98.0%,0.1,61.2,0.45%,- - -,- - -,- - -,- - -,- - -,- - -,,מיטב דש ביטחון מבטיח תשואה 4.5%,120,83.3%,"2,841.8","255,648.3",0.59%,0.45%,,,,7.31%,0.01%
"שיעור דמי ניהול
ממוצע לשנת
2017",85.7%,0.1,26.2,- - -,- - -,0.79,0.10,- - -,6.71%,-0.26%,לא פעיל,ישיר תוחלת,121,83.3%,"2,841.8","255,648.3",0.59%,0.45%,,,,7.31%,0.01%
"שיעור דמי ניהול
ממוצע לשנת
2017",88.0%,-0.7,85.4,- - -,- - -,0.84,-0.54,- - -,7.59%,0.33%,לא פעיל,מנורה גמל פלס,122,83.3%,"2,841.8","255,648.3",0.59%,0.45%,,,,7.31%,0.01%
"שיעור דמי ניהול
ממוצע לשנת
2017",84.6%,0.7,205.8,- - -,- - -,1.08,1.26,- - -,9.90%,0.02%,לא פעיל, *** אקסלנס גמולה,123,83.3%,"2,841.8","255,648.3",0.59%,0.45%,,,,7.31%,0.01%
"שיעור דמי ניהול
ממוצע לשנת
2017",87.5%,-9.3,510.3,0.54%,0.08%,0.34,-1.11,- - -,4.13%,-0.05%,, *** כלל תמר מדד,124,83.3%,"2,841.8","255,648.3",0.59%,0.45%,,,,7.31%,0.01%
"שיעור דמי ניהול
ממוצע לשנת
2017",82.8%,13.0,304.7,- - -,- - -,0.87,-0.42,- - -,7.34%,-0.30%,לא פעיל, *** אשכולות כללי,125,83.3%,"2,841.8","255,648.3",0.59%,0.45%,,,,7.31%,0.01%
"שיעור דמי ניהול
ממוצע לשנת
2017",64.1%,-1.3,43.1,- - -,- - -,-0.64,-0.95,- - -,-0.63%,-0.13%,לא פעיל," *** כלל תמר מט""ח",126,83.3%,"2,841.8","255,648.3",0.59%,0.45%,,,,7.31%,0.01%
"שיעור דמי ניהול
ממוצע לשנת
2017",86.6%,0.4,130.3,0.61%,0.05%,0.95,0.99,- - -,16.48%,-0.54%,, *** כלל תמר מניות,127,83.3%,"2,841.8","255,648.3",0.59%,0.45%,,,,7.31%,0.01%
"שיעור דמי ניהול
ממוצע לשנת
2017",95.5%,-1.3,61.7,0.54%,0.03%,-0.66,-0.75,- - -,5.44%,0.52%,, *** כלל תמר שקלי טווח קצר,128,83.3%,"2,841.8","255,648.3",0.59%,0.45%,,,,7.31%,0.01%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.6%,2.8,41.4,- - -,- - -,0.89,0.39,- - -,7.62%,-0.02%,לא פעיל, *** ** יבול,129,83.3%,"2,841.8","255,648.3",0.59%,0.45%,,,,7.31%,0.01%
"שיעור דמי ניהול
ממוצע לשנת
2017",88.1%,-0.4,130.4,0.68%,- - -,0.71,-1.16,- - -,5.15%,-0.37%,,** שובל,130,83.3%,"2,841.8","255,648.3",0.59%,0.45%,,,,7.31%,0.01%
"שיעור דמי ניהול
ממוצע לשנת
2017",85.9%,42.5,658.8,0.96%,- - -,0.97,0.74,- - -,7.52%,-0.35%,, *** הלמן-אלדובי השתלמות כללי,132,83.3%,"2,841.8","255,648.3",0.59%,0.45%,,,,7.31%,0.01%
"שיעור דמי ניהול
ממוצע לשנת
2017",88.1%,-0.6,195.8,- - -,- - -,0.85,-0.66,- - -,6.22%,0.23%,לא פעיל,** ישיר מניפה,133,83.3%,"2,841.8","255,648.3",0.59%,0.45%,,,,7.31%,0.01%
"שיעור דמי ניהול
ממוצע לשנת
2017",71.1%,0.7,101.7,- - -,- - -,1.22,0.69,- - -,10.42%,-0.16%,לא פעיל, *** דש קפיטל גמל זהב,135,83.3%,"2,841.8","255,648.3",0.59%,0.45%,,,,7.31%,0.01%
"שיעור דמי ניהול
ממוצע לשנת
2017",74.2%,10.2,149.1,- - -,- - -,1.16,0.52,- - -,10.03%,-0.06%,לא פעיל, *** דש קפיטל גמל,136,83.3%,"2,841.8","255,648.3",0.59%,0.45%,,,,7.31%,0.01%
"שיעור דמי ניהול
ממוצע לשנת
2017",73.1%,6.3,645.0,- - -,- - -,1.12,0.48,- - -,9.74%,-0.07%,לא פעיל, *** דש קפיטל השתלמות,137,83.3%,"2,841.8","255,648.3",0.59%,0.45%,,,,7.31%,0.01%
"שיעור דמי ניהול
ממוצע לשנת
2017",77.1%,23.5,108.3,- - -,- - -,1.39,1.08,- - -,12.12%,-0.11%,לא פעיל, *** דש קפיטל-פיצויים,138,83.3%,"2,841.8","255,648.3",0.59%,0.45%,,,,7.31%,0.01%
