TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות גמל לחודש 01/2005,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox103,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox105,Textbox92,Textbox93,Textbox94,Textbox104,Textbox106,Textbox107,Textbox108,Textbox98,Textbox99
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-53.5,"11,491.7",0.70%,0.61%,- - -,- - -,- - -,1.82%,1.82%,," *** הראל אג""ח עד 25% מניות ",101,,196.9,"211,888.1",0.59%,0.45%,,,,1.59%,1.59%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,6.4,"1,594.9",- - -,- - -,- - -,- - -,- - -,1.65%,1.65%,לא פעיל, *** אקסלנס גמל פלטינום,102,,196.9,"211,888.1",0.59%,0.45%,,,,1.59%,1.59%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-11.0,"4,356.7",0.70%,0.61%,- - -,- - -,- - -,1.44%,1.44%,, *** מיטב דש גמל לבני  50-60,103,,196.9,"211,888.1",0.59%,0.45%,,,,1.59%,1.59%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-16.5,"2,501.7",- - -,- - -,- - -,- - -,- - -,1.77%,1.77%,לא פעיל,פסגות צור,104,,196.9,"211,888.1",0.59%,0.45%,,,,1.59%,1.59%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-2.8,125.7,- - -,- - -,- - -,- - -,- - -,1.57%,1.57%,לא פעיל,ישיר המלאכה,105,,196.9,"211,888.1",0.59%,0.45%,,,,1.59%,1.59%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-35.1,"18,410.8",- - -,- - -,- - -,- - -,- - -,1.60%,1.60%,לא פעיל, *** פסגות גדיש כללי,106,,196.9,"211,888.1",0.59%,0.45%,,,,1.59%,1.59%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.4,463.5,0.58%,0.00%,- - -,- - -,- - -,1.36%,1.36%,," *** הלמן-אלדובי בר-יציב אג""ח עד 25% במניות",107,,196.9,"211,888.1",0.59%,0.45%,,,,1.59%,1.59%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.0,0.0,- - -,- - -,- - -,- - -,- - -,- - -,- - -,לא פעיל,** נדבכים,108,,196.9,"211,888.1",0.59%,0.45%,,,,1.59%,1.59%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,1.2,21.3,- - -,- - -,- - -,- - -,- - -,4.70%,4.70%,לא פעיל, *** להיט מניות,109,,196.9,"211,888.1",0.59%,0.45%,,,,1.59%,1.59%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.8,55.9,- - -,- - -,- - -,- - -,- - -,1.56%,1.56%,לא פעיל,** ויתקין,110,,196.9,"211,888.1",0.59%,0.45%,,,,1.59%,1.59%
