TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות לפי קופה לתקופה נבחרת 06/2017 - 05/2018,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox113,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox103,Textbox104,Textbox105,Textbox106,Textbox112,Textbox110,Textbox107,Textbox108,Textbox109,SHM3,ID3,Textbox114,Textbox92,Textbox93,Textbox94,Textbox111,Textbox115,Textbox96,Textbox97,Textbox98,Textbox99
"שיעור דמי ניהול ממוצע לשנת
2017",85.1%,-16.4,176.6,0.66%,- - -,0.76,3.69%,1.40%,1.90%,05/18-06/17,,** ק.ה.ר,295,85.1%,-16.4,176.6,0.66%,- - -,דווח,1.90%,05/18-06/17,,** ק.ה.ר,295,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",84.7%,-41.0,773.0,0.54%,- - -,0.91,4.05%,1.90%,3.25%,05/18-06/17,,** מינהל-השתלמות - כללי,299,84.7%,-41.0,773.0,0.54%,- - -,דווח,3.25%,05/18-06/17,,** מינהל-השתלמות - כללי,299,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",88.3%,-12.1,719.5,0.33%,- - -,0.98,3.99%,1.97%,3.37%,05/18-06/17,,** ק.ל.ע מסלול כללי,378,88.3%,-12.1,719.5,0.33%,- - -,דווח,3.37%,05/18-06/17,,** ק.ל.ע מסלול כללי,378,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",88.3%,-42.4,"2,461.0",0.34%,- - -,1.04,4.24%,2.29%,3.60%,05/18-06/17,,** עובדי מדינה - כללי,382,88.3%,-42.4,"2,461.0",0.34%,- - -,דווח,3.60%,05/18-06/17,,** עובדי מדינה - כללי,382,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",84.9%,-136.2,"2,310.0",0.54%,- - -,0.96,3.98%,1.83%,3.40%,05/18-06/17,,** רעות-כללי,392,84.9%,-136.2,"2,310.0",0.54%,- - -,דווח,3.40%,05/18-06/17,,** רעות-כללי,392,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",90.0%,-2.4,60.0,0.45%,- - -,0.95,4.10%,1.97%,5.22%,05/18-06/17,,"** קרן השתלמות עוצ""מ",394,90.0%,-2.4,60.0,0.45%,- - -,דווח,5.22%,05/18-06/17,,"** קרן השתלמות עוצ""מ",394,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",87.6%,108.2,370.7,0.67%,- - -,1.17,3.97%,2.57%,3.52%,05/18-06/17,," *** הלמן-אלדובי השתלמות אג""ח עד 25% במניות",395,87.6%,108.2,370.7,0.67%,- - -,דווח,3.52%,05/18-06/17,," *** הלמן-אלדובי השתלמות אג""ח עד 25% במניות",395,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",82.7%,-251.0,"9,784.7",0.76%,- - -,1.22,4.83%,2.70%,4.37%,05/18-06/17,, *** פסגות שיא השתלמות כללי,396,82.7%,-251.0,"9,784.7",0.76%,- - -,דווח,4.37%,05/18-06/17,, *** פסגות שיא השתלמות כללי,396,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",87.4%,64.0,"3,336.3",0.42%,- - -,1.06,4.24%,2.20%,3.65%,05/18-06/17,,** רום  קרן השתלמות לעובדי רשויות מקומיות - קלאסי כללי,408,87.4%,64.0,"3,336.3",0.42%,- - -,דווח,3.65%,05/18-06/17,,** רום  קרן השתלמות לעובדי רשויות מקומיות - קלאסי כללי,408,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",77.4%,213.6,"1,923.4",0.69%,- - -,1.35,4.15%,2.86%,3.98%,05/18-06/17,," *** הראל השתלמות אג""ח עד 20% מניות ",416,77.4%,213.6,"1,923.4",0.69%,- - -,דווח,3.98%,05/18-06/17,," *** הראל השתלמות אג""ח עד 20% מניות ",416,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
