TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות גמל לחודש 07/2016,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox103,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox105,Textbox92,Textbox93,Textbox94,Textbox104,Textbox106,Textbox107,Textbox108,Textbox98,Textbox99
"שיעור דמי ניהול
ממוצע לשנת
2017",77.6%,-70.0,"11,843.6",0.70%,0.61%,0.92,0.69,2.16%,2.77%,1.85%,," *** הראל אג""ח עד 25% מניות ",101,86.0%,924.3,"393,944.4",0.59%,0.45%,,,1.07%,2.28%,1.79%
"שיעור דמי ניהול
ממוצע לשנת
2017",81.3%,-8.2,"5,268.1",0.70%,0.61%,0.87,0.25,1.44%,2.02%,1.98%,, *** מיטב דש גמל לבני  50-60,103,86.0%,924.3,"393,944.4",0.59%,0.45%,,,1.07%,2.28%,1.79%
"שיעור דמי ניהול
ממוצע לשנת
2017",83.8%,0.4,442.6,0.58%,0.00%,0.91,-0.18,1.32%,3.22%,1.59%,," *** הלמן-אלדובי בר-יציב אג""ח עד 25% במניות",107,86.0%,924.3,"393,944.4",0.59%,0.45%,,,1.07%,2.28%,1.79%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.1%,-14.6,"1,277.3",0.58%,0.04%,1.05,-0.23,-0.48%,2.68%,0.62%,," *** כלל תמר אג""ח ",117,86.0%,924.3,"393,944.4",0.59%,0.45%,,,1.07%,2.28%,1.79%
"שיעור דמי ניהול
ממוצע לשנת
2017",87.8%,-1.0,99.4,0.51%,- - -,0.77,-0.07,0.72%,4.12%,2.56%,,אנליסט קופה מרכזית לפיצויים מסלול כללי,118,86.0%,924.3,"393,944.4",0.59%,0.45%,,,1.07%,2.28%,1.79%
"שיעור דמי ניהול
ממוצע לשנת
2017",83.1%,16.5,761.0,0.73%,0.32%,1.02,0.68,1.56%,2.57%,1.69%,,מנורה מבטחים יותר מסלול ד,119,86.0%,924.3,"393,944.4",0.59%,0.45%,,,1.07%,2.28%,1.79%
"שיעור דמי ניהול
ממוצע לשנת
2017",97.1%,-0.1,73.6,0.45%,- - -,- - -,- - -,- - -,- - -,- - -,,מיטב דש ביטחון מבטיח תשואה 4.5%,120,86.0%,924.3,"393,944.4",0.59%,0.45%,,,1.07%,2.28%,1.79%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.6%,-26.2,"1,585.1",0.54%,0.08%,0.75,-0.41,-0.24%,2.95%,0.72%,, *** כלל תמר מדד,124,86.0%,924.3,"393,944.4",0.59%,0.45%,,,1.07%,2.28%,1.79%
"שיעור דמי ניהול
ממוצע לשנת
2017",90.0%,1.2,192.2,0.61%,0.05%,0.34,0.04,2.76%,-0.03%,4.77%,, *** כלל תמר מניות,127,86.0%,924.3,"393,944.4",0.59%,0.45%,,,1.07%,2.28%,1.79%
"שיעור דמי ניהול
ממוצע לשנת
2017",99.7%,-8.8,278.2,0.54%,0.03%,0.09,-0.85,-0.12%,0.08%,-0.01%,, *** כלל תמר שקלי טווח קצר,128,86.0%,924.3,"393,944.4",0.59%,0.45%,,,1.07%,2.28%,1.79%
