TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות גמל לחודש 05/2016,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox103,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox105,Textbox92,Textbox93,Textbox94,Textbox104,Textbox106,Textbox107,Textbox108,Textbox98,Textbox99
"שיעור דמי ניהול
ממוצע לשנת
2017",77.8%,-49.1,"11,773.5",0.70%,0.61%,0.79,0.64,2.04%,1.09%,0.20%,," *** הראל אג""ח עד 25% מניות ",101,86.1%,774.6,"386,664.1",0.59%,0.45%,,,0.94%,0.75%,0.45%
"שיעור דמי ניהול
ממוצע לשנת
2017",81.5%,-8.5,"5,205.5",0.70%,0.61%,0.74,0.19,1.20%,0.50%,0.47%,, *** מיטב דש גמל לבני  50-60,103,86.1%,774.6,"386,664.1",0.59%,0.45%,,,0.94%,0.75%,0.45%
"שיעור דמי ניהול
ממוצע לשנת
2017",83.3%,-0.9,437.1,0.58%,0.00%,0.76,-0.21,1.20%,1.46%,0.62%,," *** הלמן-אלדובי בר-יציב אג""ח עד 25% במניות",107,86.1%,774.6,"386,664.1",0.59%,0.45%,,,0.94%,0.75%,0.45%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.6%,-4.8,"1,290.9",0.58%,0.04%,0.94,-0.15,-0.48%,1.48%,0.06%,," *** כלל תמר אג""ח ",117,86.1%,774.6,"386,664.1",0.59%,0.45%,,,0.94%,0.75%,0.45%
"שיעור דמי ניהול
ממוצע לשנת
2017",88.1%,-1.9,105.0,0.51%,- - -,0.58,-0.38,0.24%,1.66%,0.75%,,אנליסט קופה מרכזית לפיצויים מסלול כללי,118,86.1%,774.6,"386,664.1",0.59%,0.45%,,,0.94%,0.75%,0.45%
"שיעור דמי ניהול
ממוצע לשנת
2017",82.5%,12.0,728.1,0.73%,0.32%,0.87,0.65,1.32%,1.00%,0.35%,,מנורה מבטחים יותר מסלול ד,119,86.1%,774.6,"386,664.1",0.59%,0.45%,,,0.94%,0.75%,0.45%
"שיעור דמי ניהול
ממוצע לשנת
2017",97.2%,-0.6,72.9,0.45%,- - -,- - -,- - -,- - -,- - -,- - -,,מיטב דש ביטחון מבטיח תשואה 4.5%,120,86.1%,774.6,"386,664.1",0.59%,0.45%,,,0.94%,0.75%,0.45%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.7%,-19.6,"1,616.3",0.54%,0.08%,0.65,-0.34,-0.24%,1.71%,-0.33%,, *** כלל תמר מדד,124,86.1%,774.6,"386,664.1",0.59%,0.45%,,,0.94%,0.75%,0.45%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.8%,1.0,189.2,0.61%,0.05%,0.24,-0.05,2.28%,-2.18%,0.44%,, *** כלל תמר מניות,127,86.1%,774.6,"386,664.1",0.59%,0.45%,,,0.94%,0.75%,0.45%
"שיעור דמי ניהול
ממוצע לשנת
2017",99.8%,-8.1,291.0,0.54%,0.03%,0.12,-0.72,-0.12%,0.06%,0.01%,, *** כלל תמר שקלי טווח קצר,128,86.1%,774.6,"386,664.1",0.59%,0.45%,,,0.94%,0.75%,0.45%
"שיעור דמי ניהול
ממוצע לשנת
2017",90.8%,-1.1,105.7,0.68%,- - -,0.58,-0.57,-0.12%,0.46%,0.52%,,** שובל,130,86.1%,774.6,"386,664.1",0.59%,0.45%,,,0.94%,0.75%,0.45%
"שיעור דמי ניהול
ממוצע לשנת
2017",81.8%,-2.7,"2,785.2",0.96%,- - -,0.81,0.10,1.92%,-0.42%,0.30%,, *** הלמן-אלדובי השתלמות כללי,132,86.1%,774.6,"386,664.1",0.59%,0.45%,,,0.94%,0.75%,0.45%
"שיעור דמי ניהול
ממוצע לשנת
2017",91.4%,-0.4,112.0,0.54%,- - -,0.74,0.17,0.60%,0.55%,0.50%,,פסגות שיא פיצויים כללי,150,86.1%,774.6,"386,664.1",0.59%,0.45%,,,0.94%,0.75%,0.45%
"שיעור דמי ניהול
ממוצע לשנת
2017",90.0%,-3.4,686.5,0.65%,- - -,0.96,-0.13,-0.24%,1.52%,0.05%,,כלל ברזל,152,86.1%,774.6,"386,664.1",0.59%,0.45%,,,0.94%,0.75%,0.45%
"שיעור דמי ניהול
ממוצע לשנת
2017",78.4%,65.2,"3,458.3",0.82%,- - -,0.77,0.65,2.04%,0.78%,0.22%,,הראל השתלמות כללי,154,86.1%,774.6,"386,664.1",0.59%,0.45%,,,0.94%,0.75%,0.45%
"שיעור דמי ניהול
ממוצע לשנת
2017",83.2%,-0.2,192.8,0.71%,- - -,0.70,0.19,1.68%,0.96%,0.24%,,"הראל קמ""פ מסלול כללי ",155,86.1%,774.6,"386,664.1",0.59%,0.45%,,,0.94%,0.75%,0.45%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.4%,-1.5,323.8,0.79%,- - -,0.95,-0.22,-0.24%,2.05%,0.13%,," *** מגדל השתלמות אג""ח",199,86.1%,774.6,"386,664.1",0.59%,0.45%,,,0.94%,0.75%,0.45%
"שיעור דמי ניהול
ממוצע לשנת
2017",90.5%,-1.1,102.4,0.65%,0.29%,0.66,0.20,-1.44%,0.92%,1.98%,,"פסגות גדיש חו""ל",205,86.1%,774.6,"386,664.1",0.59%,0.45%,,,0.94%,0.75%,0.45%
"שיעור דמי ניהול
ממוצע לשנת
2017",88.2%,-18.9,"2,395.5",0.64%,0.23%,1,-0.07,-0.36%,0.66%,0.09%,," *** אקסלנס גמל אג""ח עד 15% מניות",211,86.1%,774.6,"386,664.1",0.59%,0.45%,,,0.94%,0.75%,0.45%
