TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות גמל לחודש 07/2012,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox103,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox105,Textbox92,Textbox93,Textbox94,Textbox104,Textbox106,Textbox107,Textbox108,Textbox98,Textbox99
"שיעור דמי ניהול
ממוצע לשנת
2017",74.0%,-92.7,"11,570.3",0.70%,0.61%,0.26,0.11,0.24%,5.74%,2.39%,," *** הראל אג""ח עד 25% מניות ",101,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",79.5%,-32.1,"2,359.3",- - -,- - -,0.27,0.04,0.24%,4.64%,2.57%,לא פעיל, *** אקסלנס גמל פלטינום,102,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",84.7%,-35.1,"3,666.7",0.70%,0.61%,0.40,0.68,1.20%,4.09%,2.34%,, *** מיטב דש גמל לבני  50-60,103,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",83.4%,-196.0,"21,241.4",- - -,- - -,0.34,0.70,0.72%,5.34%,2.49%,לא פעיל, *** פסגות גדיש כללי,106,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",84.8%,-2.8,473.7,0.58%,0.00%,0.36,0.10,1.56%,3.58%,2.27%,," *** הלמן-אלדובי בר-יציב אג""ח עד 25% במניות",107,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",90.8%,0.1,29.9,- - -,- - -,-0.14,-0.36,-4.44%,5.26%,3.87%,לא פעיל, *** להיט מניות,109,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",78.7%,-10.3,717.2,- - -,- - -,0.23,-0.04,0.00%,3.99%,2.32%,לא פעיל, *** מיטב מירון,111,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.6%,-6.9,709.2,- - -,- - -,0.40,0.14,-0.24%,4.75%,2.86%,לא פעיל, *** ** הגומל מסלול כללי,115,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",90.3%,43.8,"1,164.3",0.58%,0.04%,1.16,0.52,0.12%,5.47%,2.27%,," *** כלל תמר אג""ח ",117,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",83.1%,-2.7,135.2,0.51%,- - -,0.18,0.02,0.72%,2.02%,1.56%,,אנליסט קופה מרכזית לפיצויים מסלול כללי,118,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",80.7%,-11.1,627.3,0.73%,0.32%,0.25,0.05,-0.96%,5.46%,2.87%,,מנורה מבטחים יותר מסלול ד,119,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",97.3%,0.0,69.9,0.45%,- - -,- - -,- - -,- - -,- - -,- - -,,מיטב דש ביטחון מבטיח תשואה 4.5%,120,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",91.7%,77.9,"1,717.4",0.54%,0.08%,1.16,0.60,0.60%,4.74%,2.34%,, *** כלל תמר מדד,124,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",94.1%,0.8,21.7,- - -,- - -,0.25,0.01,-1.92%,7.53%,2.78%,לא פעיל," *** כלל תמר מט""ח",126,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",88.6%,-3.9,95.7,0.61%,0.05%,-0.27,-0.52,-1.68%,-3.37%,0.64%,, *** כלל תמר מניות,127,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",99.0%,1.4,455.4,0.54%,0.03%,1.17,-0.21,0.24%,1.66%,0.34%,, *** כלל תמר שקלי טווח קצר,128,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.8%,-0.5,122.0,0.68%,- - -,0.28,-0.15,-1.20%,4.21%,2.38%,,** שובל,130,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",76.2%,-0.1,525.6,0.96%,- - -,0.19,-0.32,-0.48%,5.41%,2.15%,, *** הלמן-אלדובי השתלמות כללי,132,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",86.8%,-0.8,171.3,- - -,- - -,0.31,0.29,0.48%,4.80%,2.04%,לא פעיל, *** דש קפיטל-פיצויים,138,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",84.6%,-1.7,122.2,- - -,- - -,-0.06,-0.49,-0.84%,1.76%,1.62%,לא פעיל, *** תגמולים,143,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",83.6%,-1.2,158.8,- - -,- - -,-0.06,-0.49,-0.96%,1.98%,1.67%,לא פעיל, *** הלמן-אלדובי השתלמות,145,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",85.6%,-1.6,77.4,0.54%,- - -,-0.03,-0.88,-2.76%,5.41%,2.44%,,פסגות שיא פיצויים כללי,150,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",90.4%,17.5,891.8,0.65%,- - -,1.18,0.54,0.12%,5.74%,2.38%,,כלל ברזל,152,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",75.9%,-8.6,747.8,- - -,- - -,0.20,-0.11,-0.24%,5.68%,2.63%,לא פעיל, *** הראל גמל לגילאי 50 עד 60,153,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",77.7%,11.6,"1,423.4",0.82%,- - -,0.22,-0.11,-0.24%,5.67%,2.66%,,הראל השתלמות כללי,154,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",82.9%,-0.1,161.0,0.71%,- - -,0.27,0.17,-0.24%,5.80%,2.60%,,"הראל קמ""פ מסלול כללי ",155,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",90.0%,-1.1,999.6,- - -,- - -,0.29,-0.06,0.12%,4.40%,2.51%,לא פעיל, *** ** קופת גמל הנדסאים מסלול כללי,157,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.1%,-5.9,"1,437.4",- - -,- - -,0.34,0.22,-0.36%,4.39%,2.60%,לא פעיל, *** ** קופת גמל מחר מסלול כללי,158,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",90.1%,0.0,247.8,- - -,- - -,0.43,0.22,0.48%,4.48%,2.45%,לא פעיל," *** ** קופת גמל עו""ס מסלול כללי",159,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",87.6%,-0.7,269.6,- - -,- - -,0.41,0.40,0.84%,4.36%,2.51%,לא פעיל, *** ** שדות מסלול כללי,160,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",87.4%,-2.6,"1,863.1",- - -,- - -,0.35,0.23,0.48%,4.08%,2.45%,לא פעיל," *** ** קופת גמל עמ""י מסלול כללי",161,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",86.0%,-0.1,13.3,- - -,- - -,0.15,-0.67,-1.20%,4.00%,2.43%,לא פעיל, *** אקסלנס טפחות מרכזית,173,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",90.5%,1.1,282.0,0.79%,- - -,0.60,0.22,-0.84%,4.96%,1.93%,," *** מגדל השתלמות אג""ח",199,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",87.9%,1.2,60.0,0.65%,0.29%,0.35,0.09,0.48%,11.44%,3.64%,,"פסגות גדיש חו""ל",205,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",87.7%,-13.1,895.5,- - -,- - -,0.21,-0.26,-1.68%,4.82%,2.76%,לא פעיל, *** ** אל על כללי,206,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",80.3%,-1.0,36.1,- - -,- - -,0.57,0.50,0.60%,6.16%,2.65%,לא פעיל," *** פסגות גדיש אג""ח קונצרני",208,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",88.0%,0.2,469.9,0.64%,0.23%,0.55,0.27,-0.96%,5.26%,2.42%,," *** אקסלנס גמל אג""ח עד 15% מניות",211,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",81.8%,0.4,450.5,0.50%,- - -,0.44,0.38,0.84%,4.02%,2.50%,לא פעיל," *** ** אוניברסיטת ת""א - מסלול כללי",218,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",85.8%,-1.8,103.5,0.64%,- - -,0.21,-0.08,-0.24%,3.29%,2.02%,,אלמוג,219,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",84.3%,-39.8,"2,435.9",- - -,- - -,0.39,0.16,-0.72%,3.22%,2.45%,לא פעיל, *** ** גמל דיסקונט כללי,221,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.4%,6.5,585.2,0.58%,0.56%,1.12,0.37,-0.60%,5.04%,2.07%,," *** מיטב דש גמל אג""ח ללא מניות",223,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",91.5%,0.4,78.5,- - -,- - -,0.53,0.37,1.08%,3.87%,2.35%,לא פעיל, *** ** קופת התגמולים של עובדי בנק לאומי למשכנתאות,225,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",90.0%,-2.2,"3,998.0",0.00%,- - -,0.30,-0.08,-0.60%,4.05%,2.41%,, *** ** קופת התגמולים של עובדי בנק לאומי,229,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",87.7%,-0.2,42.2,- - -,- - -,0.75,0.11,0.36%,4.30%,1.81%,לא פעיל, *** עומרים קופה מרכזית לפיצויים,231,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.1%,-6.7,"1,977.1",0.19%,- - -,0.76,0.29,-0.48%,5.46%,2.15%,,"** בל""ד",233,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",82.0%,-19.6,"1,157.3",0.70%,- - -,0.05,-0.57,-1.80%,5.22%,2.58%,,פסגות פיצויים כללי,237,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",81.2%,-39.8,"1,099.1",0.81%,- - -,0.28,0.17,0.72%,3.82%,2.22%,, *** דיסקונט לפיצויים,239,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
"שיעור דמי ניהול
ממוצע לשנת
2017",79.9%,-47.3,"1,950.7",0.55%,- - -,0.25,0.07,0.24%,3.87%,2.09%,,כלל פיצויים למעסיק,241,85.9%,35.5,"303,692.4",0.59%,0.45%,,,-0.02%,4.48%,2.30%
