TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות גמל לחודש 12/2016,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox103,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox105,Textbox92,Textbox93,Textbox94,Textbox104,Textbox106,Textbox107,Textbox108,Textbox98,Textbox99
"שיעור דמי ניהול
ממוצע לשנת
2017",77.1%,-34.5,"11,620.6",0.70%,0.61%,1.11,0.80,2.52%,3.47%,0.76%,," *** הראל אג""ח עד 25% מניות ",101,85.8%,"2,779.7","402,816.0",0.59%,0.45%,,,1.48%,3.12%,0.78%
"שיעור דמי ניהול
ממוצע לשנת
2017",81.4%,4.4,"5,292.1",0.70%,0.61%,1.06,0.48,1.80%,3.55%,0.82%,, *** מיטב דש גמל לבני  50-60,103,85.8%,"2,779.7","402,816.0",0.59%,0.45%,,,1.48%,3.12%,0.78%
"שיעור דמי ניהול
ממוצע לשנת
2017",83.5%,15.2,480.8,0.58%,0.00%,1.03,-0.31,1.44%,4.19%,0.75%,," *** הלמן-אלדובי בר-יציב אג""ח עד 25% במניות",107,85.8%,"2,779.7","402,816.0",0.59%,0.45%,,,1.48%,3.12%,0.78%
"שיעור דמי ניהול
ממוצע לשנת
2017",88.7%,-17.1,"1,229.3",0.58%,0.04%,0.76,-0.62,-0.48%,1.21%,0.31%,," *** כלל תמר אג""ח ",117,85.8%,"2,779.7","402,816.0",0.59%,0.45%,,,1.48%,3.12%,0.78%
"שיעור דמי ניהול
ממוצע לשנת
2017",87.5%,0.0,95.7,0.51%,- - -,0.96,0.07,1.08%,5.26%,0.90%,,אנליסט קופה מרכזית לפיצויים מסלול כללי,118,85.8%,"2,779.7","402,816.0",0.59%,0.45%,,,1.48%,3.12%,0.78%
"שיעור דמי ניהול
ממוצע לשנת
2017",83.6%,7.6,792.0,0.73%,0.32%,1.20,0.64,2.16%,3.22%,0.74%,,מנורה מבטחים יותר מסלול ד,119,85.8%,"2,779.7","402,816.0",0.59%,0.45%,,,1.48%,3.12%,0.78%
"שיעור דמי ניהול
ממוצע לשנת
2017",97.3%,-0.2,73.9,0.45%,- - -,- - -,- - -,- - -,- - -,- - -,,מיטב דש ביטחון מבטיח תשואה 4.5%,120,85.8%,"2,779.7","402,816.0",0.59%,0.45%,,,1.48%,3.12%,0.78%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.2%,-28.3,"1,440.9",0.54%,0.08%,0.48,-0.86,-0.24%,1.06%,-0.08%,, *** כלל תמר מדד,124,85.8%,"2,779.7","402,816.0",0.59%,0.45%,,,1.48%,3.12%,0.78%
"שיעור דמי ניהול
ממוצע לשנת
2017",90.2%,-4.7,189.0,0.61%,0.05%,0.62,0.34,3.24%,3.09%,1.98%,, *** כלל תמר מניות,127,85.8%,"2,779.7","402,816.0",0.59%,0.45%,,,1.48%,3.12%,0.78%
"שיעור דמי ניהול
ממוצע לשנת
2017",99.5%,-2.0,259.8,0.54%,0.03%,-0.26,-1.02,-0.24%,0.12%,0.03%,, *** כלל תמר שקלי טווח קצר,128,85.8%,"2,779.7","402,816.0",0.59%,0.45%,,,1.48%,3.12%,0.78%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.9%,-1.0,100.7,0.68%,- - -,0.85,-0.52,0.48%,3.32%,1.06%,,** שובל,130,85.8%,"2,779.7","402,816.0",0.59%,0.45%,,,1.48%,3.12%,0.78%
"שיעור דמי ניהול
ממוצע לשנת
2017",77.0%,-6.1,"2,651.9",0.96%,- - -,1.05,-0.18,2.04%,1.13%,1.00%,, *** הלמן-אלדובי השתלמות כללי,132,85.8%,"2,779.7","402,816.0",0.59%,0.45%,,,1.48%,3.12%,0.78%
"שיעור דמי ניהול
ממוצע לשנת
2017",91.4%,-0.1,111.6,0.54%,- - -,1,-0.06,1.20%,2.49%,0.65%,,פסגות שיא פיצויים כללי,150,85.8%,"2,779.7","402,816.0",0.59%,0.45%,,,1.48%,3.12%,0.78%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.2%,-9.4,628.5,0.65%,- - -,0.78,-0.61,-0.24%,1.19%,0.28%,,כלל ברזל,152,85.8%,"2,779.7","402,816.0",0.59%,0.45%,,,1.48%,3.12%,0.78%
"שיעור דמי ניהול
ממוצע לשנת
2017",78.3%,136.8,"4,024.0",0.82%,- - -,1.10,1.09,2.64%,3.81%,0.90%,,הראל השתלמות כללי,154,85.8%,"2,779.7","402,816.0",0.59%,0.45%,,,1.48%,3.12%,0.78%
