TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות גמל לחודש 08/2016,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox103,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox105,Textbox92,Textbox93,Textbox94,Textbox104,Textbox106,Textbox107,Textbox108,Textbox98,Textbox99
"שיעור דמי ניהול
ממוצע לשנת
2017",77.3%,-60.1,"11,819.8",0.70%,0.61%,1.04,0.82,2.28%,3.15%,0.37%,," *** הראל אג""ח עד 25% מניות ",101,85.9%,"1,054.6","395,622.6",0.59%,0.45%,,,1.17%,2.48%,0.20%
"שיעור דמי ניהול
ממוצע לשנת
2017",81.7%,-0.8,"5,291.1",0.70%,0.61%,0.99,0.41,1.68%,2.55%,0.52%,, *** מיטב דש גמל לבני  50-60,103,85.9%,"1,054.6","395,622.6",0.59%,0.45%,,,1.17%,2.48%,0.20%
"שיעור דמי ניהול
ממוצע לשנת
2017",83.4%,-0.2,443.0,0.58%,0.00%,0.98,-0.29,1.32%,3.40%,0.18%,," *** הלמן-אלדובי בר-יציב אג""ח עד 25% במניות",107,85.9%,"1,054.6","395,622.6",0.59%,0.45%,,,1.17%,2.48%,0.20%
"שיעור דמי ניהול
ממוצע לשנת
2017",88.8%,-12.4,"1,260.4",0.58%,0.04%,0.98,-0.39,-0.48%,2.37%,-0.30%,," *** כלל תמר אג""ח ",117,85.9%,"1,054.6","395,622.6",0.59%,0.45%,,,1.17%,2.48%,0.20%
"שיעור דמי ניהול
ממוצע לשנת
2017",87.5%,0.1,99.8,0.51%,- - -,0.87,-0.05,0.84%,4.44%,0.31%,,אנליסט קופה מרכזית לפיצויים מסלול כללי,118,85.9%,"1,054.6","395,622.6",0.59%,0.45%,,,1.17%,2.48%,0.20%
"שיעור דמי ניהול
ממוצע לשנת
2017",83.2%,2.5,763.2,0.73%,0.32%,1.10,0.59,1.56%,2.60%,0.03%,,מנורה מבטחים יותר מסלול ד,119,85.9%,"1,054.6","395,622.6",0.59%,0.45%,,,1.17%,2.48%,0.20%
"שיעור דמי ניהול
ממוצע לשנת
2017",97.1%,-0.4,73.8,0.45%,- - -,- - -,- - -,- - -,- - -,- - -,,מיטב דש ביטחון מבטיח תשואה 4.5%,120,85.9%,"1,054.6","395,622.6",0.59%,0.45%,,,1.17%,2.48%,0.20%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.5%,-25.4,"1,556.4",0.54%,0.08%,0.72,-0.57,-0.24%,2.79%,-0.16%,, *** כלל תמר מדד,124,85.9%,"1,054.6","395,622.6",0.59%,0.45%,,,1.17%,2.48%,0.20%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.9%,-1.5,191.8,0.61%,0.05%,0.49,0.18,2.76%,0.56%,0.59%,, *** כלל תמר מניות,127,85.9%,"1,054.6","395,622.6",0.59%,0.45%,,,1.17%,2.48%,0.20%
"שיעור דמי ניהול
ממוצע לשנת
2017",99.7%,-9.1,268.9,0.54%,0.03%,-0.02,-0.95,-0.12%,0.09%,0.01%,, *** כלל תמר שקלי טווח קצר,128,85.9%,"1,054.6","395,622.6",0.59%,0.45%,,,1.17%,2.48%,0.20%
"שיעור דמי ניהול
ממוצע לשנת
2017",90.0%,-0.9,103.9,0.68%,- - -,0.77,-0.65,0.12%,2.09%,0.23%,,** שובל,130,85.9%,"1,054.6","395,622.6",0.59%,0.45%,,,1.17%,2.48%,0.20%
"שיעור דמי ניהול
ממוצע לשנת
2017",80.1%,-50.3,"2,710.0",0.96%,- - -,1.01,-0.13,1.92%,0.74%,-0.11%,, *** הלמן-אלדובי השתלמות כללי,132,85.9%,"1,054.6","395,622.6",0.59%,0.45%,,,1.17%,2.48%,0.20%
"שיעור דמי ניהול
ממוצע לשנת
2017",91.3%,-0.1,112.7,0.54%,- - -,0.95,0.06,0.84%,2.13%,0.27%,,פסגות שיא פיצויים כללי,150,85.9%,"1,054.6","395,622.6",0.59%,0.45%,,,1.17%,2.48%,0.20%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.4%,-7.1,665.5,0.65%,- - -,1.02,-0.37,-0.36%,2.43%,-0.26%,,כלל ברזל,152,85.9%,"1,054.6","395,622.6",0.59%,0.45%,,,1.17%,2.48%,0.20%
"שיעור דמי ניהול
ממוצע לשנת
2017",78.8%,56.0,"3,706.2",0.82%,- - -,1.03,1,2.40%,3.12%,0.41%,,הראל השתלמות כללי,154,85.9%,"1,054.6","395,622.6",0.59%,0.45%,,,1.17%,2.48%,0.20%
"שיעור דמי ניהול
ממוצע לשנת
2017",82.3%,0.9,197.4,0.71%,- - -,0.92,0.36,1.92%,3.13%,0.30%,,"הראל קמ""פ מסלול כללי ",155,85.9%,"1,054.6","395,622.6",0.59%,0.45%,,,1.17%,2.48%,0.20%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.2%,-2.0,324.7,0.79%,- - -,1.06,-0.44,-0.12%,3.10%,-0.19%,," *** מגדל השתלמות אג""ח",199,85.9%,"1,054.6","395,622.6",0.59%,0.45%,,,1.17%,2.48%,0.20%
"שיעור דמי ניהול
ממוצע לשנת
2017",90.5%,0.0,100.5,0.65%,0.29%,0.74,0.11,-1.32%,2.49%,-0.27%,,"פסגות גדיש חו""ל",205,85.9%,"1,054.6","395,622.6",0.59%,0.45%,,,1.17%,2.48%,0.20%
"שיעור דמי ניהול
ממוצע לשנת
2017",87.2%,-11.5,"2,399.1",0.64%,0.23%,1.13,-0.33,-0.12%,1.93%,0.00%,," *** אקסלנס גמל אג""ח עד 15% מניות",211,85.9%,"1,054.6","395,622.6",0.59%,0.45%,,,1.17%,2.48%,0.20%
"שיעור דמי ניהול
ממוצע לשנת
2017",91.1%,-2.7,362.6,0.50%,- - -,0.64,-0.94,-0.24%,2.51%,-0.07%,לא פעיל," *** ** אוניברסיטת ת""א - מסלול כללי",218,85.9%,"1,054.6","395,622.6",0.59%,0.45%,,,1.17%,2.48%,0.20%
"שיעור דמי ניהול
ממוצע לשנת
2017",87.8%,-0.2,59.9,0.64%,- - -,0.78,-0.47,0.72%,1.42%,0.02%,,אלמוג,219,85.9%,"1,054.6","395,622.6",0.59%,0.45%,,,1.17%,2.48%,0.20%
"שיעור דמי ניהול
ממוצע לשנת
2017",88.3%,-6.9,"1,024.5",0.58%,0.56%,1.37,-0.33,0.36%,2.47%,-0.02%,," *** מיטב דש גמל אג""ח ללא מניות",223,85.9%,"1,054.6","395,622.6",0.59%,0.45%,,,1.17%,2.48%,0.20%
"שיעור דמי ניהול
ממוצע לשנת
2017",88.8%,-0.5,"6,483.9",0.00%,- - -,0.91,-0.26,0.72%,2.49%,0.31%,, *** ** קופת התגמולים של עובדי בנק לאומי,229,85.9%,"1,054.6","395,622.6",0.59%,0.45%,,,1.17%,2.48%,0.20%
"שיעור דמי ניהול
ממוצע לשנת
2017",91.0%,-7.8,"1,742.0",0.19%,- - -,0.99,-0.33,0.00%,2.36%,-0.14%,,"** בל""ד",233,85.9%,"1,054.6","395,622.6",0.59%,0.45%,,,1.17%,2.48%,0.20%
"שיעור דמי ניהול
ממוצע לשנת
2017",87.2%,-11.0,"1,082.4",0.70%,- - -,1,0.16,1.08%,2.28%,0.31%,,פסגות פיצויים כללי,237,85.9%,"1,054.6","395,622.6",0.59%,0.45%,,,1.17%,2.48%,0.20%
"שיעור דמי ניהול
ממוצע לשנת
2017",84.4%,-3.1,727.9,0.81%,- - -,0.79,-0.48,0.96%,1.58%,0.18%,, *** דיסקונט לפיצויים,239,85.9%,"1,054.6","395,622.6",0.59%,0.45%,,,1.17%,2.48%,0.20%
"שיעור דמי ניהול
ממוצע לשנת
2017",85.4%,-19.2,"1,576.8",0.55%,- - -,0.76,-0.54,1.08%,1.09%,0.04%,,כלל פיצויים למעסיק,241,85.9%,"1,054.6","395,622.6",0.59%,0.45%,,,1.17%,2.48%,0.20%
