TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות גמל לחודש 06/2016,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox103,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox105,Textbox92,Textbox93,Textbox94,Textbox104,Textbox106,Textbox107,Textbox108,Textbox98,Textbox99
"שיעור דמי ניהול
ממוצע לשנת
2017",77.8%,-39.3,"11,704.5",0.70%,0.61%,0.80,0.72,2.16%,0.90%,-0.19%,," *** הראל אג""ח עד 25% מניות ",101,86.1%,865.4,"386,350.8",0.59%,0.45%,,,1.01%,0.48%,-0.27%
"שיעור דמי ניהול
ממוצע לשנת
2017",81.3%,-1.7,"5,176.8",0.70%,0.61%,0.74,0.20,1.44%,0.04%,-0.46%,, *** מיטב דש גמל לבני  50-60,103,86.1%,865.4,"386,350.8",0.59%,0.45%,,,1.01%,0.48%,-0.27%
"שיעור דמי ניהול
ממוצע לשנת
2017",83.2%,-2.0,435.5,0.58%,0.00%,0.79,-0.10,1.20%,1.60%,0.14%,," *** הלמן-אלדובי בר-יציב אג""ח עד 25% במניות",107,86.1%,865.4,"386,350.8",0.59%,0.45%,,,1.01%,0.48%,-0.27%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.6%,-12.7,"1,284.7",0.58%,0.04%,1,-0.08,-0.48%,2.04%,0.56%,," *** כלל תמר אג""ח ",117,86.1%,865.4,"386,350.8",0.59%,0.45%,,,1.01%,0.48%,-0.27%
"שיעור דמי ניהול
ממוצע לשנת
2017",88.0%,-6.8,98.0,0.51%,- - -,0.60,-0.29,0.48%,1.52%,-0.14%,,אנליסט קופה מרכזית לפיצויים מסלול כללי,118,86.1%,865.4,"386,350.8",0.59%,0.45%,,,1.01%,0.48%,-0.27%
"שיעור דמי ניהול
ממוצע לשנת
2017",82.8%,6.1,732.6,0.73%,0.32%,0.90,0.76,1.44%,0.86%,-0.14%,,מנורה מבטחים יותר מסלול ד,119,86.1%,865.4,"386,350.8",0.59%,0.45%,,,1.01%,0.48%,-0.27%
"שיעור דמי ניהול
ממוצע לשנת
2017",97.1%,-0.2,73.2,0.45%,- - -,- - -,- - -,- - -,- - -,- - -,,מיטב דש ביטחון מבטיח תשואה 4.5%,120,86.1%,865.4,"386,350.8",0.59%,0.45%,,,1.01%,0.48%,-0.27%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.7%,-22.9,"1,600.6",0.54%,0.08%,0.70,-0.27,-0.24%,2.21%,0.50%,, *** כלל תמר מדד,124,86.1%,865.4,"386,350.8",0.59%,0.45%,,,1.01%,0.48%,-0.27%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.9%,-2.2,182.4,0.61%,0.05%,0.20,-0.11,2.52%,-4.59%,-2.46%,, *** כלל תמר מניות,127,86.1%,865.4,"386,350.8",0.59%,0.45%,,,1.01%,0.48%,-0.27%
"שיעור דמי ניהול
ממוצע לשנת
2017",99.8%,-3.8,287.1,0.54%,0.03%,0.17,-0.72,-0.12%,0.09%,0.03%,, *** כלל תמר שקלי טווח קצר,128,86.1%,865.4,"386,350.8",0.59%,0.45%,,,1.01%,0.48%,-0.27%
