TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות גמל לחודש 02/2010,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox103,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox105,Textbox92,Textbox93,Textbox94,Textbox104,Textbox106,Textbox107,Textbox108,Textbox98,Textbox99
"שיעור דמי ניהול
ממוצע לשנת
2017",76.1%,-52.6,"10,006.8",0.70%,0.61%,0.45,-0.13,-0.12%,2.36%,1.32%,," *** הראל אג""ח עד 25% מניות ",101,84.1%,-54.0,"284,425.8",0.59%,0.45%,,,0.36%,2.05%,1.28%
"שיעור דמי ניהול
ממוצע לשנת
2017",76.3%,-9.9,"1,537.9",- - -,- - -,0.51,0.11,0.72%,2.40%,1.53%,לא פעיל, *** אקסלנס גמל פלטינום,102,84.1%,-54.0,"284,425.8",0.59%,0.45%,,,0.36%,2.05%,1.28%
"שיעור דמי ניהול
ממוצע לשנת
2017",82.1%,-19.8,"3,724.6",0.70%,0.61%,0.77,1.20,1.32%,2.35%,1.72%,, *** מיטב דש גמל לבני  50-60,103,84.1%,-54.0,"284,425.8",0.59%,0.45%,,,0.36%,2.05%,1.28%
"שיעור דמי ניהול
ממוצע לשנת
2017",79.4%,-0.4,77.3,- - -,- - -,0.48,0.04,-0.24%,2.30%,1.50%,לא פעיל,ישיר המלאכה,105,84.1%,-54.0,"284,425.8",0.59%,0.45%,,,0.36%,2.05%,1.28%
"שיעור דמי ניהול
ממוצע לשנת
2017",80.9%,-76.5,"19,962.2",- - -,- - -,0.57,0.56,0.48%,1.91%,1.32%,לא פעיל, *** פסגות גדיש כללי,106,84.1%,-54.0,"284,425.8",0.59%,0.45%,,,0.36%,2.05%,1.28%
"שיעור דמי ניהול
ממוצע לשנת
2017",80.2%,0.4,457.4,0.58%,0.00%,0.66,0.06,1.68%,1.95%,1.00%,," *** הלמן-אלדובי בר-יציב אג""ח עד 25% במניות",107,84.1%,-54.0,"284,425.8",0.59%,0.45%,,,0.36%,2.05%,1.28%
"שיעור דמי ניהול
ממוצע לשנת
2017",88.5%,0.4,23.6,- - -,- - -,-0.02,-0.33,-5.04%,-2.18%,1.52%,לא פעיל, *** להיט מניות,109,84.1%,-54.0,"284,425.8",0.59%,0.45%,,,0.36%,2.05%,1.28%
"שיעור דמי ניהול
ממוצע לשנת
2017",77.8%,-5.9,743.8,- - -,- - -,0.46,0.12,-0.24%,2.43%,1.64%,לא פעיל, *** מיטב מירון,111,84.1%,-54.0,"284,425.8",0.59%,0.45%,,,0.36%,2.05%,1.28%
"שיעור דמי ניהול
ממוצע לשנת
2017",79.4%,-8.9,"2,152.0",- - -,- - -,0.10,-0.78,-2.52%,2.09%,1.43%,לא פעיל, *** פסגות קרן אור,113,84.1%,-54.0,"284,425.8",0.59%,0.45%,,,0.36%,2.05%,1.28%
"שיעור דמי ניהול
ממוצע לשנת
2017",90.0%,0.0,15.9,- - -,- - -,0.67,0.29,0.60%,1.06%,0.72%,לא פעיל,אי.בי.אי שחר,114,84.1%,-54.0,"284,425.8",0.59%,0.45%,,,0.36%,2.05%,1.28%
