TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות גמל לחודש 01/2011,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox103,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox105,Textbox92,Textbox93,Textbox94,Textbox104,Textbox106,Textbox107,Textbox108,Textbox98,Textbox99
"שיעור דמי ניהול
ממוצע לשנת
2017",74.5%,-87.3,"9,996.5",0.70%,0.61%,0.57,0.01,0.24%,1.06%,1.06%,," *** הראל אג""ח עד 25% מניות ",101,84.8%,-259.6,"306,633.3",0.59%,0.45%,,,0.47%,0.38%,0.38%
"שיעור דמי ניהול
ממוצע לשנת
2017",76.3%,-10.8,"1,545.3",- - -,- - -,0.60,0.10,0.72%,0.34%,0.34%,לא פעיל, *** אקסלנס גמל פלטינום,102,84.8%,-259.6,"306,633.3",0.59%,0.45%,,,0.47%,0.38%,0.38%
"שיעור דמי ניהול
ממוצע לשנת
2017",83.3%,-15.7,"3,680.5",0.70%,0.61%,0.87,1.26,1.56%,0.36%,0.36%,, *** מיטב דש גמל לבני  50-60,103,84.8%,-259.6,"306,633.3",0.59%,0.45%,,,0.47%,0.38%,0.38%
"שיעור דמי ניהול
ממוצע לשנת
2017",82.2%,-134.8,"20,317.2",- - -,- - -,0.66,0.53,0.48%,0.17%,0.17%,לא פעיל, *** פסגות גדיש כללי,106,84.8%,-259.6,"306,633.3",0.59%,0.45%,,,0.47%,0.38%,0.38%
"שיעור דמי ניהול
ממוצע לשנת
2017",82.6%,2.6,508.0,0.58%,0.00%,0.79,0.04,1.80%,0.10%,0.10%,," *** הלמן-אלדובי בר-יציב אג""ח עד 25% במניות",107,84.8%,-259.6,"306,633.3",0.59%,0.45%,,,0.47%,0.38%,0.38%
"שיעור דמי ניהול
ממוצע לשנת
2017",88.3%,0.4,26.5,- - -,- - -,0.09,-0.22,-4.80%,0.13%,0.13%,לא פעיל, *** להיט מניות,109,84.8%,-259.6,"306,633.3",0.59%,0.45%,,,0.47%,0.38%,0.38%
"שיעור דמי ניהול
ממוצע לשנת
2017",79.8%,-8.3,887.8,- - -,- - -,0.58,0.23,0.12%,1.34%,1.34%,לא פעיל, *** מיטב מירון,111,84.8%,-259.6,"306,633.3",0.59%,0.45%,,,0.47%,0.38%,0.38%
"שיעור דמי ניהול
ממוצע לשנת
2017",79.9%,-15.5,"2,161.2",- - -,- - -,0.21,-0.69,-2.64%,0.28%,0.28%,לא פעיל, *** פסגות קרן אור,113,84.8%,-259.6,"306,633.3",0.59%,0.45%,,,0.47%,0.38%,0.38%
"שיעור דמי ניהול
ממוצע לשנת
2017",88.8%,0.3,19.2,- - -,- - -,0.78,0.20,0.84%,0.28%,0.28%,לא פעיל,אי.בי.אי שחר,114,84.8%,-259.6,"306,633.3",0.59%,0.45%,,,0.47%,0.38%,0.38%
"שיעור דמי ניהול
ממוצע לשנת
2017",88.1%,-3.2,814.9,- - -,- - -,0.85,0.06,0.84%,-0.04%,-0.04%,לא פעיל, *** ** הגומל מסלול כללי,115,84.8%,-259.6,"306,633.3",0.59%,0.45%,,,0.47%,0.38%,0.38%
