TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות גמל לחודש 04/2010,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox103,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox105,Textbox92,Textbox93,Textbox94,Textbox104,Textbox106,Textbox107,Textbox108,Textbox98,Textbox99
"שיעור דמי ניהול
ממוצע לשנת
2017",76.4%,-51.1,"10,020.3",0.70%,0.61%,0.46,-0.08,-0.12%,3.68%,-0.58%,," *** הראל אג""ח עד 25% מניות ",101,84.4%,95.3,"286,997.5",0.59%,0.45%,,,0.31%,3.10%,-0.72%
"שיעור דמי ניהול
ממוצע לשנת
2017",76.0%,-4.2,"1,551.1",- - -,- - -,0.54,0.24,0.72%,4.08%,-0.44%,לא פעיל, *** אקסלנס גמל פלטינום,102,84.4%,95.3,"286,997.5",0.59%,0.45%,,,0.31%,3.10%,-0.72%
"שיעור דמי ניהול
ממוצע לשנת
2017",83.0%,-28.7,"3,704.6",0.70%,0.61%,0.78,1.15,1.20%,3.48%,-0.81%,, *** מיטב דש גמל לבני  50-60,103,84.4%,95.3,"286,997.5",0.59%,0.45%,,,0.31%,3.10%,-0.72%
"שיעור דמי ניהול
ממוצע לשנת
2017",80.3%,-0.1,76.7,- - -,- - -,0.46,-0.20,-0.36%,2.52%,-1.10%,לא פעיל,ישיר המלאכה,105,84.4%,95.3,"286,997.5",0.59%,0.45%,,,0.31%,3.10%,-0.72%
"שיעור דמי ניהול
ממוצע לשנת
2017",81.2%,-70.5,"19,995.2",- - -,- - -,0.58,0.50,0.36%,2.98%,-1.04%,לא פעיל, *** פסגות גדיש כללי,106,84.4%,95.3,"286,997.5",0.59%,0.45%,,,0.31%,3.10%,-0.72%
"שיעור דמי ניהול
ממוצע לשנת
2017",80.4%,3.3,465.7,0.58%,0.00%,0.66,0,1.56%,2.68%,-0.46%,," *** הלמן-אלדובי בר-יציב אג""ח עד 25% במניות",107,84.4%,95.3,"286,997.5",0.59%,0.45%,,,0.31%,3.10%,-0.72%
"שיעור דמי ניהול
ממוצע לשנת
2017",88.7%,-0.6,23.5,- - -,- - -,-0.01,-0.31,-5.28%,-0.63%,-2.28%,לא פעיל, *** להיט מניות,109,84.4%,95.3,"286,997.5",0.59%,0.45%,,,0.31%,3.10%,-0.72%
"שיעור דמי ניהול
ממוצע לשנת
2017",78.4%,-3.5,732.1,- - -,- - -,0.44,-0.05,-0.60%,2.62%,-1.61%,לא פעיל, *** מיטב מירון,111,84.4%,95.3,"286,997.5",0.59%,0.45%,,,0.31%,3.10%,-0.72%
"שיעור דמי ניהול
ממוצע לשנת
2017",79.9%,-9.2,"2,149.6",- - -,- - -,0.11,-0.77,-2.64%,3.15%,-1.03%,לא פעיל, *** פסגות קרן אור,113,84.4%,95.3,"286,997.5",0.59%,0.45%,,,0.31%,3.10%,-0.72%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.9%,0.2,16.8,- - -,- - -,0.68,0.23,0.48%,1.93%,-0.60%,לא פעיל,אי.בי.אי שחר,114,84.4%,95.3,"286,997.5",0.59%,0.45%,,,0.31%,3.10%,-0.72%
"שיעור דמי ניהול
ממוצע לשנת
2017",88.6%,-2.6,790.5,- - -,- - -,0.77,0.09,0.72%,2.16%,-0.74%,לא פעיל, *** ** הגומל מסלול כללי,115,84.4%,95.3,"286,997.5",0.59%,0.45%,,,0.31%,3.10%,-0.72%
"שיעור דמי ניהול
ממוצע לשנת
2017",90.4%,4.2,679.7,0.58%,0.04%,1.09,0.13,0.72%,3.06%,0.29%,," *** כלל תמר אג""ח ",117,84.4%,95.3,"286,997.5",0.59%,0.45%,,,0.31%,3.10%,-0.72%
"שיעור דמי ניהול
ממוצע לשנת
2017",79.9%,-1.0,135.3,0.51%,- - -,0.49,0.36,0.72%,6.14%,-1.67%,,אנליסט קופה מרכזית לפיצויים מסלול כללי,118,84.4%,95.3,"286,997.5",0.59%,0.45%,,,0.31%,3.10%,-0.72%
"שיעור דמי ניהול
ממוצע לשנת
2017",82.2%,4.7,741.4,0.73%,0.32%,0.48,-0.02,-0.48%,3.03%,-0.72%,,מנורה מבטחים יותר מסלול ד,119,84.4%,95.3,"286,997.5",0.59%,0.45%,,,0.31%,3.10%,-0.72%
"שיעור דמי ניהול
ממוצע לשנת
2017",96.1%,-0.5,62.7,0.45%,- - -,- - -,- - -,- - -,- - -,- - -,,מיטב דש ביטחון מבטיח תשואה 4.5%,120,84.4%,95.3,"286,997.5",0.59%,0.45%,,,0.31%,3.10%,-0.72%
"שיעור דמי ניהול
ממוצע לשנת
2017",86.3%,-0.3,21.8,- - -,- - -,0.76,1.07,1.56%,4.17%,-1.13%,לא פעיל,ישיר תוחלת,121,84.4%,95.3,"286,997.5",0.59%,0.45%,,,0.31%,3.10%,-0.72%
