TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות גמל לחודש 09/2001,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox103,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox105,Textbox92,Textbox93,Textbox94,Textbox104,Textbox106,Textbox107,Textbox108,Textbox98,Textbox99
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-39.7,"9,799.1",0.70%,0.61%,- - -,- - -,- - -,2.48%,-1.39%,," *** הראל אג""ח עד 25% מניות ",101,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-3.1,"1,153.8",- - -,- - -,- - -,- - -,- - -,1.91%,-1.27%,לא פעיל, *** אקסלנס גמל פלטינום,102,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-13.3,"3,672.7",0.70%,0.61%,- - -,- - -,- - -,1.86%,-1.16%,, *** מיטב דש גמל לבני  50-60,103,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-17.8,"2,397.2",- - -,- - -,- - -,- - -,- - -,1.88%,-1.76%,לא פעיל,פסגות צור,104,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.9,138.5,- - -,- - -,- - -,- - -,- - -,0.22%,-1.67%,לא פעיל,ישיר המלאכה,105,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-77.7,"15,045.5",- - -,- - -,- - -,- - -,- - -,0.63%,-1.77%,לא פעיל, *** פסגות גדיש כללי,106,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-7.0,490.3,0.58%,0.00%,- - -,- - -,- - -,-0.10%,-1.97%,," *** הלמן-אלדובי בר-יציב אג""ח עד 25% במניות",107,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-2.4,202.1,- - -,- - -,- - -,- - -,- - -,- - -,- - -,לא פעיל,** נדבכים,108,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.3,5.7,- - -,- - -,- - -,- - -,- - -,-6.76%,-4.21%,לא פעיל, *** להיט מניות,109,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.2,47.8,- - -,- - -,- - -,- - -,- - -,2.15%,-0.94%,לא פעיל,** ויתקין,110,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-7.3,921.7,- - -,- - -,- - -,- - -,- - -,0.14%,-1.88%,לא פעיל, *** מיטב מירון,111,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.2,145.6,- - -,- - -,- - -,- - -,- - -,2.24%,-1.64%,לא פעיל,הראל רימון,112,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-10.1,"2,345.7",- - -,- - -,- - -,- - -,- - -,1.01%,-1.57%,לא פעיל, *** פסגות קרן אור,113,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-2.0,24.5,- - -,- - -,- - -,- - -,- - -,3.09%,-0.83%,לא פעיל,אי.בי.אי שחר,114,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-1.0,520.6,- - -,- - -,- - -,- - -,- - -,2.35%,-1.13%,לא פעיל, *** ** הגומל מסלול כללי,115,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.1,2.6,- - -,- - -,- - -,- - -,- - -,0.35%,-2.19%,לא פעיל,** סוכני הבטוח,116,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.0,5.5,0.58%,0.04%,- - -,- - -,- - -,8.67%,0.90%,," *** כלל תמר אג""ח ",117,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.1,6.5,0.51%,- - -,- - -,- - -,- - -,3.31%,-2.13%,,אנליסט קופה מרכזית לפיצויים מסלול כללי,118,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,1.2,513.1,0.73%,0.32%,- - -,- - -,- - -,1.43%,-1.38%,,מנורה מבטחים יותר מסלול ד,119,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.1,51.6,0.45%,- - -,- - -,- - -,- - -,- - -,- - -,,מיטב דש ביטחון מבטיח תשואה 4.5%,120,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.2,28.1,- - -,- - -,- - -,- - -,- - -,0.21%,-1.59%,לא פעיל,ישיר תוחלת,121,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-1.3,99.0,- - -,- - -,- - -,- - -,- - -,2.32%,-1.19%,לא פעיל,מנורה גמל פלס,122,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.4,87.4,- - -,- - -,- - -,- - -,- - -,-0.70%,-2.82%,לא פעיל, *** אקסלנס גמולה,123,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,48.5,212.5,0.54%,0.08%,- - -,- - -,- - -,8.93%,0.70%,, *** כלל תמר מדד,124,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,1.3,38.1,- - -,- - -,- - -,- - -,- - -,5.45%,-0.08%,לא פעיל, *** אשכולות כללי,125,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,7.2,20.4,- - -,- - -,- - -,- - -,- - -,8.93%,2.32%,לא פעיל," *** כלל תמר מט""ח",126,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.8,27.5,0.61%,0.05%,- - -,- - -,- - -,-5.99%,-3.81%,, *** כלל תמר מניות,127,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.7,24.6,0.54%,0.03%,- - -,- - -,- - -,0.26%,-1.64%,, *** כלל תמר שקלי טווח קצר,128,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.0,18.0,- - -,- - -,- - -,- - -,- - -,1.74%,-2.03%,לא פעיל, *** ** יבול,129,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.7,64.0,0.68%,- - -,- - -,- - -,- - -,5.18%,-0.29%,,** שובל,130,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,3.5,367.5,0.96%,- - -,- - -,- - -,- - -,1.78%,-1.65%,, *** הלמן-אלדובי השתלמות כללי,132,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.1,161.0,- - -,- - -,- - -,- - -,- - -,2.20%,-1.16%,לא פעיל,** ישיר מניפה,133,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.9,17.7,- - -,- - -,- - -,- - -,- - -,4.82%,-1.26%,לא פעיל, *** דש קפיטל גמל זהב,135,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.8,16.5,- - -,- - -,- - -,- - -,- - -,4.97%,-1.24%,לא פעיל, *** דש קפיטל גמל,136,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,7.9,110.5,- - -,- - -,- - -,- - -,- - -,4.94%,-1.17%,לא פעיל, *** דש קפיטל השתלמות,137,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.6,17.9,- - -,- - -,- - -,- - -,- - -,4.90%,-1.23%,לא פעיל, *** דש קפיטל-פיצויים,138,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.4,30.3,- - -,- - -,- - -,- - -,- - -,0.94%,-1.47%,לא פעיל, *** ** כלל דגש,139,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-4.5,15.6,- - -,- - -,- - -,- - -,- - -,2.26%,-1.60%,לא פעיל,מבטחים-פיצויים,140,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.3,19.8,- - -,- - -,- - -,- - -,- - -,-5.41%,3.90%,לא פעיל,הלמן-אלדובי ברק,142,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-1.2,133.7,- - -,- - -,- - -,- - -,- - -,-0.50%,2.11%,לא פעיל, *** תגמולים,143,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-1.3,31.5,- - -,- - -,- - -,- - -,- - -,0.38%,2.52%,לא פעיל,הלמן-אלדובי לפיצויים,144,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.6,197.5,- - -,- - -,- - -,- - -,- - -,-0.43%,2.02%,לא פעיל, *** הלמן-אלדובי השתלמות,145,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,2.4,331.7,- - -,- - -,- - -,- - -,- - -,10.98%,1.01%,לא פעיל, *** חריש,146,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.8,70.4,- - -,- - -,- - -,- - -,- - -,10.83%,1.02%,לא פעיל, *** ערד,147,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.2,5.1,- - -,- - -,- - -,- - -,- - -,0.36%,-1.25%,לא פעיל,פסגות חרמון,148,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.0,7.9,0.54%,- - -,- - -,- - -,- - -,1.76%,-0.86%,,פסגות שיא פיצויים כללי,150,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.2,16.6,- - -,- - -,- - -,- - -,- - -,1.59%,-0.76%,לא פעיל,פסגות תבור,151,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.0,3.1,0.65%,- - -,- - -,- - -,- - -,9.36%,1.01%,,כלל ברזל,152,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.5,11.4,- - -,- - -,- - -,- - -,- - -,-0.72%,-1.24%,לא פעיל, *** הראל גמל לגילאי 50 עד 60,153,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,1.5,63.0,0.82%,- - -,- - -,- - -,- - -,-0.37%,-1.31%,,הראל השתלמות כללי,154,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.0,13.6,0.71%,- - -,- - -,- - -,- - -,-1.33%,-1.47%,,"הראל קמ""פ מסלול כללי ",155,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,4.6,427.7,- - -,- - -,- - -,- - -,- - -,4.82%,-0.66%,לא פעיל, *** ** קופת גמל הנדסאים מסלול כללי,157,,-146.0,"161,346.1",0.59%,0.45%,,,,2.27%,-1.22%
